Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
10,Brooklyn Nets,38.3,43.7,.466,-0.17,0.21,-0.93,15-18,23-26,51-31,24-58,25.8%,,NA,NA,NA,0.1,0.8,2.4,7.5,14.9,NA,3.3,5.3,11.2,22.3,23.5,34.5,NA,0.1%,
11,Chicago Bulls,38.0,44.0,.464,0.61,-0.83,-1.54,15-19,23-25,50-32,27-55,20.4%,,NA,NA,NA,0.1,0.7,1.9,5.4,12.3,NA,2.7,3.7,8.7,19.6,24.5,40.8,NA,,
12,Toronto Raptors,36.1,45.9,.440,0.06,0.00,-1.15,13-20,23-26,49-33,24-58,11.1%,,NA,NA,NA,NA,0.2,0.5,2.6,7.8,NA,0.7,1.5,4.2,10.3,17.4,66.0,NA,,
13,Charlotte Hornets,20.4,61.6,.248,0.57,0.37,-10.53,7-24,13-38,33-49,11-71,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Washington Wizards,20.2,61.8,.246,0.07,0.47,-9.40,6-26,14-36,31-51,9-73,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,16.2,65.8,.198,0.97,-0.07,-10.33,3-30,13-36,28-54,7-75,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Oklahoma City Thunder,58.1,23.9,.708,0.51,-0.89,9.06,22-9,36-15,69-13,45-37,100.0%,59.0%,58.6,29.3,9.9,1.9,0.3,0.1,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,45.9%,21.9%
2,Minnesota Timberwolves,56.6,25.4,.690,0.44,-0.77,5.94,24-8,33-17,70-12,42-40,100.0%,32.8%,32.5,41.6,19.7,4.9,1.1,0.2,0.1,NA,NA,99.9,0.1,NA,NA,NA,,NA,19.1%,6.0%
3,Denver Nuggets,53.9,28.1,.657,0.07,-0.42,5.44,24-11,30-17,65-17,41-41,99.9%,8.1%,8,23.2,46.2,15.9,4.7,1.3,0.4,0.1,NA,99.4,0.4,0.1,0.1,NA,,NA,15.5%,4.6%
4,Los Angeles Clippers,49.1,32.9,.599,-0.78,0.28,4.03,20-12,29-21,62-20,36-46,96.5%,70.6%,0.7,4.3,14.6,36.1,19.8,12,5.6,3.4,NA,87.5,6.3,3.6,1.6,0.7,0.3,NA,8.3%,2.1%
5,Sacramento Kings,46.1,35.9,.562,0.66,0.05,1.43,19-12,27-24,59-23,34-48,80.7%,20.4%,0.1,0.6,3.4,11.4,19.4,19.4,15.1,11.3,NA,54.3,16.5,13.4,8.6,4.7,2.5,NA,1.8%,0.3%
6,Houston Rockets,45.6,36.4,.556,0.00,-0.39,3.22,16-15,30-21,57-25,33-49,79.8%,47.9%,0.1,0.5,2.6,11.5,20.3,18.2,14.8,11.9,NA,53.1,15.2,11.9,9.5,6.5,3.8,NA,4.0%,1.0%
7,New Orleans Pelicans,45.6,36.4,.556,-0.71,0.26,2.29,19-14,27-22,57-25,33-49,79.6%,40.9%,NA,0.5,2.7,11.4,17.4,19.3,15.6,12.7,NA,51.3,16.9,12.7,9.5,6,3.7,NA,2.8%,0.6%
8,Golden State Warriors,43.2,38.8,.527,1.35,-0.98,1.82,15-17,28-22,55-27,30-52,57.2%,5.8%,NA,0.1,0.6,3.4,7.1,12.2,16.8,17.1,NA,23.3,16.1,16.4,16,16.2,12.0,NA,1.5%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Dallas Mavericks,42.3,39.7,.515,-0.71,0.47,-0.45,19-15,23-25,55-27,29-53,44.6%,11.2%,NA,NA,0.1,2,5.3,8.3,12.9,15.9,NA,15.8,12,17.4,19.6,19.4,15.9,NA,0.4%,
10,Phoenix Suns,41.0,41.0,.500,-1.77,1.03,-0.10,18-15,23-26,53-29,30-52,30.5%,1.5%,NA,NA,0.1,0.8,2.4,4.8,9.2,13.2,NA,8.1,8.1,11.7,17.3,22.3,32.5,NA,0.4%,
11,Los Angeles Lakers,40.9,41.1,.499,0.39,0.23,-0.11,17-17,24-24,54-28,29-53,31.1%,1.6%,NA,NA,0.1,0.8,2.3,4.2,9.6,14.3,NA,7.3,8.4,12.8,17.6,23.5,30.5,NA,0.3%,
12,Utah Jazz,32.3,49.7,.394,-0.72,1.38,-4.86,15-19,17-31,47-35,21-61,0.2%,,NA,NA,NA,NA,NA,NA,NA,0.2,NA,,NA,0.1,0.2,0.8,98.9,NA,,
13,Memphis Grizzlies,27.3,54.7,.333,0.26,0.14,-6.83,10-22,17-33,41-41,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Portland Trail Blazers,24.1,57.9,.294,-0.99,1.48,-7.24,9-23,15-35,37-45,13-69,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,San Antonio Spurs,17.8,64.2,.217,1.23,0.30,-10.77,5-27,13-37,29-53,7-75,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
