Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
10,Miami Heat,39.5,40.5,.494,0.68,0.30,-0.77,5-4,34-37,54-26,24-56,43.9%,14.0%,NA,0.5,3.4,5.1,6.5,7.6,9.8,11,NA,23.1,9.5,10.9,12.3,14.2,29.9,NA,0.5%,0.1%
11,Milwaukee Bucks,39.2,40.8,.491,2.55,0.28,-1.11,5-4,34-37,54-26,25-55,42.0%,15.8%,NA,0.4,2.6,4.8,6.1,7.9,9.3,10.9,NA,21.8,9,11.1,13.2,13.7,31.2,NA,0.5%,0.1%
12,Chicago Bulls,33.3,46.7,.416,0.43,0.60,-4.57,3-6,30-41,48-32,19-61,5.2%,1.3%,NA,NA,0.1,0.2,0.5,0.7,1.4,2.3,NA,1.5,1.3,2.1,3.8,6.4,85.0,NA,,
13,Charlotte Hornets,33.1,46.9,.413,-0.30,0.87,-5.43,3-5,30-42,49-31,17-63,5.0%,0.7%,NA,NA,0.1,0.2,0.3,0.7,1.3,2.4,NA,1.3,1.3,1.9,3.3,5.8,86.4,NA,,
14,Washington Wizards,31.9,48.1,.399,1.58,0.64,-5.92,2-6,30-42,50-30,17-63,2.6%,0.3%,NA,NA,0.1,0.1,0.1,0.4,0.6,1.4,NA,0.6,0.7,1,1.9,3.9,91.8,NA,,
15,Detroit Pistons,31.1,48.9,.389,-1.15,0.82,-4.95,2-8,29-41,47-33,16-64,1.9%,0.3%,NA,NA,NA,0.1,0.1,0.2,0.4,1.2,NA,0.3,0.5,0.8,1.4,3.1,93.9,NA,,
1,Minnesota Timberwolves,53.1,26.9,.664,0.98,-0.96,11.10,6-2,47-25,68-12,37-43,100.0%,56.4%,50.9,30.4,13,3.8,1.4,0.4,0.1,0.1,NA,99.9,0.1,NA,NA,NA,,NA,39.1%,16.8%
2,Denver Nuggets,52.4,27.6,.655,-1.56,-0.73,8.44,8-1,44-27,67-13,37-43,100.0%,43.3%,39.6,35.8,16,5.9,1.9,0.6,0.2,0.1,NA,99.7,0.2,0.1,NA,NA,,NA,29.1%,11.2%
3,Dallas Mavericks,47.5,32.5,.593,-1.51,-0.39,4.38,7-2,40-31,61-19,32-48,98.9%,74.9%,6.6,19.5,31.2,19.3,12,6.3,2.8,1.3,NA,94.9,3.1,1.2,0.5,0.2,0.1,NA,11.9%,3.1%
4,Golden State Warriors,44.6,35.4,.558,-0.85,-0.46,2.65,6-4,39-31,58-22,27-53,95.6%,69.9%,1.6,7.4,17.8,26.2,19.3,12.4,6.9,3.9,NA,84.7,7.8,4.1,1.9,0.9,0.7,NA,7.3%,1.5%
5,Houston Rockets,43.5,36.5,.543,-3.49,-0.52,2.01,5-3,38-34,58-22,28-52,92.1%,24.3%,1,4.5,11.3,19.4,22.7,17,10,6.2,NA,75.9,11.4,6,3.6,1.9,1.2,NA,5.2%,1.1%
6,Oklahoma City Thunder,41.3,38.7,.516,-0.29,-0.35,0.38,5-4,36-35,56-24,26-54,80.8%,0.4%,0.2,1.1,5.2,10.5,16.5,19.2,15.7,12.4,NA,52.7,17.3,12.6,8,4.6,4.7,NA,2.8%,0.6%
7,Los Angeles Clippers,40.4,39.6,.504,-2.00,-0.31,0.75,3-5,37-35,55-25,23-57,76.2%,19.7%,0.1,1.1,4,9.1,13.6,18.2,17.2,12.8,NA,46.2,17.3,14.2,9.3,6.2,6.8,NA,3.1%,0.6%
8,Phoenix Suns,36.9,43.1,.462,-3.75,-0.04,-2.75,4-5,33-38,55-25,21-59,44.4%,5.3%,NA,0.1,0.6,2.4,4.6,8.5,13.5,14.7,NA,16.3,12.2,15.3,16.1,13.9,26.2,NA,0.6%,0.1%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Sacramento Kings,36.2,43.8,.452,-1.34,0.13,-3.97,4-4,32-40,52-28,21-59,38.8%,3.6%,NA,0.1,0.4,1.5,3.4,6.6,11.9,15,NA,12.0,10.9,14.7,16.6,16,29.8,NA,0.5%,0.1%
10,New Orleans Pelicans,35.7,44.3,.446,2.07,-0.49,-4.49,4-5,32-39,50-30,21-59,33.7%,0.9%,NA,NA,0.3,1,2.5,5.8,10.5,13.6,NA,9.7,9.4,14.1,15.7,15.9,35.3,NA,0.3%,
11,Los Angeles Lakers,34.3,45.7,.428,0.59,-0.07,-5.52,4-5,30-41,50-30,19-61,21.7%,1.5%,NA,NA,0.2,0.7,1.4,3.2,6.5,9.6,NA,5.5,5.9,9.4,13.5,16,49.8,NA,0.1%,
12,Portland Trail Blazers,32.6,47.4,.407,-1.51,0.24,-6.63,3-5,30-42,48-32,18-62,12.1%,,NA,NA,NA,0.1,0.5,1.4,3.5,6.5,NA,2.1,3.1,5.6,8.7,12.6,67.9,NA,0.1%,
13,San Antonio Spurs,29.4,50.6,.367,2.51,-0.15,-9.38,3-6,26-45,44-36,16-64,2.6%,,NA,NA,NA,NA,0.1,0.1,0.7,1.7,NA,0.2,0.6,1.4,2.8,5.5,89.5,NA,,
14,Utah Jazz,29.1,50.9,.364,-0.56,0.35,-8.26,3-7,26-44,44-36,15-65,2.5%,,NA,NA,NA,NA,NA,0.2,0.7,1.6,NA,0.2,0.5,1.2,2.7,5,90.5,NA,,
15,Memphis Grizzlies,26.5,53.5,.331,-3.13,0.42,-9.68,1-8,25-46,42-38,13-67,0.6%,,NA,NA,NA,NA,NA,0.1,0.1,0.5,NA,0.1,0.1,0.2,0.6,1.5,97.5,NA,,
