Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,64.3,17.7,.784,-0.03,-1.70,10.27,45-12,19-6,70-12,56-26,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,67.7%,48.6%
2,Cleveland Cavaliers,52.8,29.2,.644,-0.58,-0.42,4.64,36-19,17-10,61-21,44-38,100.0%,85.7%,NA,75.7,14.4,5.5,2.7,1.1,0.3,0.2,NA,99.5,0.3,0.1,NA,NA,,NA,11.2%,4.2%
3,Milwaukee Bucks,49.5,32.5,.604,-0.66,0.94,2.55,36-21,14-11,59-23,41-41,98.9%,13.6%,NA,11.2,33.4,23,15.3,10.3,3.6,2.1,NA,93.2,5.2,1.6,NA,NA,,NA,3.9%,1.1%
4,New York Knicks,49.3,32.7,.601,-0.18,-0.09,4.20,34-23,15-10,57-25,40-42,98.8%,,NA,7.8,27.1,26.9,19.2,11.3,4.6,2,NA,92.3,5.5,2.3,NA,NA,,NA,8.3%,2.9%
5,Philadelphia 76ers,47.9,34.1,.585,-0.73,0.01,3.38,33-23,15-11,57-25,38-44,96.9%,,NA,2.8,11.6,18.8,24.1,21.9,11.7,6,NA,79.2,13.6,7.1,0.1,NA,,NA,5.1%,1.5%
6,Orlando Magic,46.9,35.1,.572,0.18,-2.02,1.20,32-25,15-10,56-26,39-43,94.0%,68.9%,NA,2,9.5,15.8,20.1,22.3,15.6,8.8,NA,69.6,18.9,11.3,0.2,NA,,NA,1.6%,0.4%
7,Miami Heat,44.7,37.3,.546,-0.29,-1.01,0.10,31-25,14-12,53-29,36-46,83.9%,31.1%,NA,0.3,2.2,5.3,9.3,16.3,30.5,20.1,NA,33.3,25.1,39.8,1.7,0.1,,NA,0.9%,0.2%
8,Indiana Pacers,44.9,37.1,.547,-0.50,0.63,1.15,32-25,13-12,53-29,36-46,85.3%,0.7%,NA,0.3,1.9,4.7,9.2,16.7,32.4,20.1,NA,32.8,31,34.7,1.5,NA,,NA,1.4%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Chicago Bulls,37.8,44.2,.461,-0.39,-0.07,-1.82,26-30,12-14,46-36,28-54,22.5%,,NA,NA,NA,NA,NA,0.1,1.3,21.1,NA,0.1,0.5,2.7,70.9,18.8,7.1,NA,0.1%,
10,Atlanta Hawks,35.3,46.7,.430,-0.07,-0.21,-2.63,24-32,11-15,46-36,27-55,11.9%,,NA,NA,NA,NA,NA,NA,0.1,11.8,NA,,NA,0.3,16.4,48,35.2,NA,,
11,Brooklyn Nets,33.2,48.8,.405,0.55,-1.41,-2.41,21-35,12-14,43-39,24-58,6.1%,,NA,NA,NA,NA,NA,NA,NA,6.1,NA,,NA,0.1,7.3,23.6,69.1,NA,,
12,Toronto Raptors,31.5,50.5,.385,-0.06,-0.28,-3.29,21-36,11-14,42-40,23-59,1.9%,,NA,NA,NA,NA,NA,NA,NA,1.9,NA,,NA,NA,1.8,9.5,88.7,NA,,
13,Charlotte Hornets,19.8,62.2,.242,-0.06,0.69,-10.51,14-42,6-20,28-54,14-68,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Washington Wizards,16.0,66.0,.195,0.22,-0.15,-9.64,9-47,7-19,25-57,9-73,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,15.1,66.9,.184,0.13,0.06,-8.98,8-48,7-19,26-56,8-74,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
1,Minnesota Timberwolves,57.5,24.5,.701,0.04,-0.56,7.21,40-17,17-8,65-17,48-34,100.0%,53.4%,51.1,31.3,13.8,3.4,0.4,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,30.1%,13.3%
2,Oklahoma City Thunder,57.4,24.6,.700,-0.06,-0.46,8.00,39-17,18-8,65-17,48-34,100.0%,44.8%,42.9,37.3,15.8,3.6,0.4,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,39.0%,18.3%
3,Los Angeles Clippers,54.2,27.8,.661,0.02,-0.02,5.09,37-18,17-10,64-18,46-36,99.9%,99.2%,4.3,24.3,41.2,23.9,5.6,0.6,0.1,0.1,NA,99.8,0.2,NA,NA,NA,,NA,12.2%,4.2%
4,Denver Nuggets,53.0,29.0,.646,-0.01,0.04,3.63,38-19,15-10,61-21,44-38,99.9%,1.9%,1.6,6.6,24.9,49.8,14.1,2.3,0.4,0.2,NA,99.3,0.5,0.2,NA,NA,,NA,6.4%,1.8%
5,New Orleans Pelicans,49.0,33.0,.598,-0.12,0.25,4.16,34-23,15-10,59-23,40-42,95.7%,74.6%,NA,0.5,3.7,14.3,45.9,19.2,7.8,4.3,NA,83.6,9.6,4.2,2,0.6,,NA,6.9%,2.1%
6,Dallas Mavericks,46.8,35.2,.571,0.07,0.06,1.65,33-23,14-12,56-26,38-44,81.7%,25.4%,NA,0.1,0.5,3,17.3,28.4,19.1,13.3,NA,49.4,22.2,16.3,8.6,3.2,0.4,NA,1.5%,0.2%
7,Sacramento Kings,45.8,36.2,.559,0.32,0.87,0.89,32-23,14-13,55-27,36-46,70.7%,0.5%,NA,NA,0.2,1.3,8,22.9,21.4,16.9,NA,32.4,24.2,20.6,15.1,6.5,1.3,NA,0.8%,0.2%
8,Phoenix Suns,45.0,37.0,.549,-1.13,2.45,1.77,33-24,12-13,55-27,36-46,60.6%,0.2%,NA,NA,NA,0.5,4.6,13.3,21.6,20.6,NA,18.4,20.8,23.1,21.8,14,2.1,NA,1.2%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Golden State Warriors,44.7,37.3,.546,0.53,-0.88,2.59,29-26,16-11,53-29,35-47,58.3%,0.1%,NA,NA,NA,0.2,3.3,10.8,21,22.9,NA,14.4,16.7,22.4,26.5,17.6,2.4,NA,1.7%,0.4%
10,Los Angeles Lakers,42.4,39.6,.518,0.29,0.91,-0.06,31-27,11-13,51-31,34-48,28.4%,,NA,NA,NA,NA,0.4,2.4,8,17.6,NA,2.9,5.6,12.3,22.7,42.6,14.0,NA,0.2%,
11,Houston Rockets,38.7,43.3,.472,0.30,-0.46,0.55,25-31,14-12,47-35,30-52,4.6%,0.1%,NA,NA,NA,NA,NA,0.1,0.5,4.1,NA,0.1,0.3,1,3.2,14.2,81.4,NA,0.1%,
12,Utah Jazz,36.0,46.0,.439,0.20,1.37,-2.58,26-31,10-15,46-36,28-54,0.2%,,NA,NA,NA,NA,NA,NA,NA,0.2,NA,,NA,NA,0.2,1.3,98.4,NA,,
13,Memphis Grizzlies,30.2,51.8,.368,0.92,-1.17,-5.01,20-37,10-15,38-44,23-59,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Portland Trail Blazers,22.6,59.4,.276,0.75,0.65,-8.20,15-40,8-19,31-51,15-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,San Antonio Spurs,17.6,64.4,.215,0.40,1.41,-8.09,11-46,7-18,26-56,11-71,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
