Rk,TEAM,W,L,W/L%,SOS,SRS,Current,Playoffs,Division,Win 1st Rd,Win Semi,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,58.0,24.0,.707,-0.02,3.61,58-24,100.0%,100.0%,68.1%,31.5%,12.7%,7.2%,58,1,0.07200000000000001,mil
2,Boston Celtics,57.0,25.0,.695,-0.15,6.38,57-25,100.0%,100.0%,85.2%,58.8%,36.9%,27.4%,57,1,0.27399999999999997,bos
3,Philadelphia 76ers,54.0,28.0,.659,0.06,4.37,54-28,100.0%,,71.3%,29.8%,15.7%,9.5%,54,1,0.095,phi
4,Cleveland Cavaliers,51.0,31.0,.622,-0.15,5.23,51-31,100.0%,,65.5%,41.7%,21.7%,14.7%,51,1,0.147,cle
5,New York Knicks,47.0,35.0,.573,0.06,2.99,47-35,100.0%,,34.5%,17.1%,6.9%,3.8%,47,1,0.038,ny
6,Brooklyn Nets,45.0,37.0,.549,0.18,1.03,45-37,100.0%,,28.8%,6.7%,2.1%,0.8%,45,1,0.008,bkn
7,Atlanta Hawks,41.0,41.0,.500,0.02,0.32,41-41,73.6%,,14.2%,4.5%,1.3%,0.5%,41,0.736,0.005,atl
8,Miami Heat,44.0,38.0,.537,0.18,-0.13,44-38,71.5%,100.0%,12.9%,3.5%,0.8%,0.2%,44,0.715,0.002,mia
9,Toronto Raptors,41.0,41.0,.500,0.12,1.59,41-41,27.8%,,10.2%,3.4%,1.1%,0.5%,41,0.278,0.005,tor
10,Chicago Bulls,40.0,42.0,.488,0.07,1.37,40-42,27.1%,,9.4%,3.2%,0.9%,0.4%,40,0.271,0.004,chi
11,Washington Wizards,35.0,47.0,.427,0.15,-1.06,35-47,0,,,,,0,35,0,0,wsh
12,Indiana Pacers,35.0,47.0,.427,0.28,-2.91,35-47,0,,,,,0,35,0,0,ind
13,Orlando Magic,34.0,48.0,.415,0.17,-2.39,34-48,0,,,,,0,34,0,0,orl
14,Charlotte Hornets,27.0,55.0,.329,0.35,-5.89,27-55,0,,,,,0,27,0,0,cha
15,Detroit Pistons,17.0,65.0,.207,0.49,-7.73,17-65,0,,,,,0,17,0,0,det
1,Denver Nuggets,53.0,29.0,.646,-0.29,3.04,53-29,100.0%,100.0%,65.8%,40.4%,22.7%,9.1%,53,1,0.091,den
2,Memphis Grizzlies,51.0,31.0,.622,-0.34,3.60,51-31,100.0%,100.0%,73.7%,45.1%,26.2%,10.8%,51,1,0.10800000000000001,mem
3,Sacramento Kings,48.0,34.0,.585,-0.35,2.30,48-34,100.0%,100.0%,55.8%,25.3%,12.6%,4.1%,48,1,0.040999999999999995,sac
4,Phoenix Suns,45.0,37.0,.549,0.01,2.08,45-37,100.0%,,63.4%,30.1%,14.6%,4.8%,45,1,0.048,phx
5,LA Clippers,44.0,38.0,.537,-0.19,0.31,44-38,100.0%,,36.6%,12.9%,4.8%,1.2%,44,1,0.012,lac
6,Golden State Warriors,44.0,38.0,.537,-0.15,1.66,44-38,100.0%,,44.2%,19.2%,8.7%,2.6%,44,1,0.026000000000000002,gs
7,Los Angeles Lakers,43.0,39.0,.524,-0.15,0.43,43-39,74.7%,,21.9%,9.3%,3.7%,0.8%,43,0.747,0.008,lal
8,Minnesota Timberwolves,42.0,40.0,.512,-0.18,-0.22,42-40,71.3%,,18.2%,7.2%,2.4%,0.5%,42,0.713,0.005,min
9,New Orleans Pelicans,42.0,40.0,.512,-0.26,1.63,42-40,28.7%,,11.4%,6.1%,2.8%,0.9%,42,0.287,0.009000000000000001,no
10,Oklahoma City Thunder,40.0,42.0,.488,-0.12,0.96,40-42,25.3%,,9.0%,4.5%,1.6%,0.4%,40,0.253,0.004,okc
11,Dallas Mavericks,38.0,44.0,.463,-0.22,-0.14,38-44,0,,,,,0,38,0,0,dal
12,Utah Jazz,37.0,45.0,.451,-0.09,-1.03,37-45,0,,,,,0,37,0,0,uta
13,Portland Trail Blazers,33.0,49.0,.402,0.05,-3.96,33-49,0,,,,,0,33,0,0,por
14,San Antonio Spurs,22.0,60.0,.268,0.22,-9.82,22-60,0,,,,,0,22,0,0,sa
15,Houston Rockets,22.0,60.0,.268,0.24,-7.62,22-60,0,,,,,0,22,0,0,hou
