Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Boston Celtics,57.6,22.4,.720,1.46,-0.34,12.11,11-3,47-19,71-9,44-36,100.0%,72.2%,71.6,24.4,3.1,0.6,0.2,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,47.7%,34.4%
2,Philadelphia 76ers,54.5,25.5,.682,0.98,-0.28,9.98,10-3,45-22,68-12,42-38,99.9%,26.8%,26.5,55.4,11.7,4,1.5,0.6,0.2,0.1,NA,99.7,0.2,NA,0.1,NA,,NA,28.9%,18.2%
3,New York Knicks,47.2,32.8,.590,0.97,0.05,5.33,8-6,39-27,62-18,32-48,93.4%,1.0%,0.9,6.5,25.5,21.1,16.8,11.2,7.1,4.6,NA,81.8,7.3,4.8,3.3,1.7,1.2,NA,8.0%,3.7%
4,Milwaukee Bucks,46.5,33.5,.581,0.03,0.18,3.10,10-4,36-30,62-18,32-48,89.8%,57.8%,0.6,6.4,22.2,19.4,15.5,11.4,8,6.2,NA,75.6,8.6,6.9,4.5,2.7,1.6,NA,4.1%,1.4%
5,Atlanta Hawks,44.5,35.5,.556,1.76,-0.20,3.76,6-6,38-30,58-22,29-51,80.1%,53.2%,0.2,2.9,12.5,15.1,13.8,13.6,11.9,10.1,NA,58.1,12.1,10.3,8.3,6.4,4.8,NA,3.7%,1.4%
6,Indiana Pacers,43.0,37.0,.537,0.13,0.20,2.04,7-5,36-32,59-21,30-50,67.5%,21.9%,0.1,1.3,6.5,9.6,11.8,12.8,13,12.5,NA,42.1,13,12.8,11.8,10.3,10.0,NA,2.0%,0.7%
7,Orlando Magic,42.6,37.4,.533,-1.59,0.39,1.18,8-5,35-32,56-24,27-53,64.3%,28.3%,0.1,0.9,5.9,8.8,10.5,12.2,12.9,13.2,NA,38.3,13.2,12.7,13,12.2,10.8,NA,1.5%,0.4%
8,Cleveland Cavaliers,43.3,36.7,.541,1.94,-0.20,2.09,7-6,36-31,59-21,28-52,69.1%,20.2%,NA,1.5,6.9,9.5,11.7,13.6,13.3,12.6,NA,43.2,13.7,13.5,12,9.5,8.1,NA,2.1%,0.7%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Miami Heat,41.1,38.9,.514,-1.81,0.51,-0.53,9-5,32-34,57-23,27-53,47.9%,18.5%,NA,0.4,2.5,5.5,7.1,8.7,11.2,12.4,NA,24.3,11.2,12.7,15.3,16.6,19.8,NA,0.5%,0.2%
10,Toronto Raptors,40.6,39.4,.508,1.33,0.25,1.33,6-7,35-32,55-25,24-56,45.8%,,NA,0.2,1.9,3.5,6.3,8.2,11.4,14.4,NA,20.0,10.6,13.2,14.8,18.1,23.3,NA,0.9%,0.3%
11,Brooklyn Nets,40.2,39.8,.502,1.60,0.28,0.84,6-7,34-33,57-23,26-54,40.7%,,NA,0.1,1.3,2.9,4.8,7.6,11,13,NA,16.8,10,12.4,15.4,18.2,27.3,NA,0.6%,0.2%
12,Chicago Bulls,32.0,48.0,.400,0.24,0.51,-4.02,5-10,27-38,49-31,17-63,1.2%,0.1%,NA,NA,NA,NA,0.1,0.1,0.2,0.9,NA,0.1,0.2,0.6,1.3,3.5,94.3,NA,,
13,Detroit Pistons,27.4,52.6,.343,0.70,0.43,-5.70,2-13,25-40,43-37,15-65,0.1%,,NA,NA,NA,NA,NA,NA,NA,0.1,NA,,NA,NA,0.1,0.3,99.6,NA,,
14,Charlotte Hornets,28.1,51.9,.351,0.96,0.65,-7.58,4-9,24-43,43-37,14-66,0.1%,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0.2,0.4,99.4,NA,,
15,Washington Wizards,26.0,54.0,.325,1.13,0.48,-8.03,2-11,24-43,41-39,13-67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,0.1,99.9,NA,,
