Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
10,Miami Heat,39.8,40.2,.497,-0.21,0.36,-1.01,6-4,34-36,56-24,23-57,47.1%,14.1%,NA,0.4,3.4,5.5,6.8,8.6,10.4,12,NA,24.7,10.2,12.5,14,14.3,24.4,NA,0.4%,0.1%
11,Cleveland Cavaliers,38.3,41.7,.479,2.32,0.08,-0.88,4-6,34-36,53-27,24-56,35.5%,12.6%,NA,0.1,1.5,2.7,4.6,6.5,8.6,11.4,NA,15.5,8.2,10.2,12.9,15.9,37.4,NA,0.2%,
12,Chicago Bulls,33.1,46.9,.413,-0.48,0.66,-4.39,4-7,29-40,49-31,18-62,5.4%,1.4%,NA,NA,0.1,0.2,0.4,0.8,1.3,2.7,NA,1.4,1.2,2.2,4,6.7,84.5,NA,,
13,Charlotte Hornets,31.1,48.9,.389,0.36,0.82,-6.64,3-6,28-43,45-35,17-63,1.8%,0.2%,NA,NA,NA,NA,0.1,0.2,0.5,1,NA,0.3,0.3,0.8,1.5,3.6,93.4,NA,,
14,Washington Wizards,30.7,49.3,.384,1.46,0.53,-5.75,2-8,29-41,47-33,17-63,1.5%,0.2%,NA,NA,NA,NA,0.1,0.1,0.3,1,NA,0.3,0.3,0.5,1.4,2.8,94.7,NA,,
15,Detroit Pistons,29.3,50.7,.366,-1.53,0.89,-5.99,2-9,27-42,45-35,14-66,0.6%,0.1%,NA,NA,NA,NA,NA,NA,0.1,0.4,NA,0.1,0.1,0.4,0.8,1.6,97.1,NA,,
1,Minnesota Timberwolves,54.0,26.0,.674,1.14,-0.95,10.80,7-2,47-24,67-13,37-43,100.0%,66.2%,59.5,24.9,10.6,3.5,1.2,0.3,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,39.7%,15.4%
2,Denver Nuggets,51.8,28.2,.648,-0.78,-0.69,7.92,8-2,44-26,66-14,35-45,99.9%,33.3%,29.4,36.7,19.7,8.8,3.8,1.4,0.2,0.1,NA,99.6,0.3,0.1,NA,NA,,NA,26.1%,8.8%
3,Dallas Mavericks,48.0,32.0,.600,-2.02,-0.17,4.49,8-2,40-30,62-18,33-47,99.1%,65.8%,7,20.4,28,20.6,13.2,6.8,2.1,1.2,NA,95.9,2.7,0.9,0.4,0.1,,NA,11.6%,2.7%
4,Houston Rockets,45.6,34.4,.571,-1.75,-0.69,3.47,6-3,40-31,62-18,30-50,97.1%,33.9%,2.5,9,18.1,23.1,21.5,14.3,5.7,2.9,NA,88.5,6.2,3.3,1.2,0.5,0.3,NA,8.2%,1.8%
5,Golden State Warriors,44.6,35.4,.558,0.35,-0.60,2.99,6-5,39-30,58-22,28-52,95.2%,74.7%,1.3,6.7,15.3,22.5,22.8,15,7.3,4.3,NA,83.6,8.4,4.3,2.2,1,0.5,NA,7.2%,1.4%
6,Oklahoma City Thunder,42.4,37.6,.531,-0.76,-0.23,1.04,6-4,36-34,57-23,28-52,87.7%,0.5%,0.4,1.8,5.6,12.5,18.9,24.1,14.9,9.6,NA,63.1,16.8,9.9,5.2,3,1.9,NA,3.6%,0.7%
7,Sacramento Kings,38.8,41.2,.485,-0.77,0.03,-1.77,5-4,34-37,53-27,25-55,62.8%,10.5%,NA,0.3,1.3,4.1,7,13.6,20.1,16.6,NA,26.2,20.1,19.2,14,9.6,11.0,NA,1.2%,0.1%
8,Los Angeles Clippers,38.2,41.8,.478,-2.63,-0.05,-0.63,3-6,35-36,53-27,24-56,58.9%,10.3%,NA,0.2,1.1,3.4,6.8,11.2,19,17.3,NA,22.7,18,18.4,15.3,11.4,14.2,NA,1.6%,0.3%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Los Angeles Lakers,34.9,45.1,.436,-0.12,0.10,-5.02,5-5,30-40,49-31,20-60,27.4%,1.8%,NA,NA,0.2,0.5,1.4,4,8.8,12.6,NA,6.0,7.7,12.5,16.7,16.9,40.2,NA,0.2%,
10,Phoenix Suns,35.4,44.6,.442,-3.18,0.06,-3.48,4-6,31-39,50-30,19-61,31.6%,2.8%,NA,NA,0.1,0.7,1.9,4.7,10.1,14.1,NA,7.5,9.2,13.1,15.9,16.9,37.4,NA,0.4%,
11,New Orleans Pelicans,34.8,45.2,.435,2.52,-0.48,-4.58,4-6,31-39,50-30,19-61,26.1%,0.3%,NA,NA,0.1,0.5,1.4,3.7,8.4,12,NA,5.7,7.7,11.8,15.3,17,42.5,NA,0.2%,
12,Portland Trail Blazers,31.5,48.5,.393,-1.67,0.36,-6.89,3-6,28-43,48-32,16-64,8.0%,,NA,NA,NA,NA,0.2,0.7,2,5.1,NA,0.9,1.6,3.6,7,10.8,76.1,NA,0.1%,
13,Utah Jazz,29.2,50.8,.365,-0.41,0.38,-8.11,3-7,26-44,45-35,13-67,2.8%,,NA,NA,NA,NA,0.1,0.2,0.7,1.9,NA,0.2,0.5,1.5,3,5.6,89.2,NA,,
14,San Antonio Spurs,28.4,51.6,.355,1.95,-0.02,-9.25,3-7,25-45,44-36,15-65,1.9%,,NA,NA,NA,NA,NA,0.2,0.5,1.3,NA,0.2,0.4,1,2.2,4,92.2,NA,,
15,Memphis Grizzlies,27.8,52.2,.347,-2.95,0.45,-8.45,2-8,26-44,42-38,13-67,1.5%,,NA,NA,NA,NA,NA,0.1,0.3,1.1,NA,0.1,0.3,0.6,1.6,3,94.4,NA,,
