Rk,TEAM,W,L,W/L%,SOS,SRS,Current,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,Win 1st Rd,Win Semi,Win Conf,Win Finals
1,Milwaukee Bucks,58.0,24.0,.707,-0.02,3.61,58-24,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,0.0%,0.0%,,
2,Boston Celtics,57.0,25.0,.695,-0.15,6.38,57-25,100.0%,100.0%,NA,100,NA,NA,NA,NA,NA,NA,100.0%,100.0%,46.3%,33.6%
3,Philadelphia 76ers,54.0,28.0,.659,0.06,4.37,54-28,100.0%,,NA,NA,100,NA,NA,NA,NA,NA,100.0%,0.0%,,
4,Cleveland Cavaliers,51.0,31.0,.622,-0.15,5.23,51-31,100.0%,,NA,NA,NA,100,NA,NA,NA,NA,0.0%,0.0%,,
5,New York Knicks,47.0,35.0,.573,0.06,2.99,47-35,100.0%,,NA,NA,NA,NA,100,NA,NA,NA,100.0%,0.0%,,
6,Brooklyn Nets,45.0,37.0,.549,0.18,1.03,45-37,100.0%,,NA,NA,NA,NA,NA,100,NA,NA,0.0%,0.0%,,
7,Atlanta Hawks,41.0,41.0,.500,0.02,0.32,41-41,100.0%,,NA,NA,NA,NA,NA,NA,100,NA,0.0%,0.0%,,
8,Miami Heat,44.0,38.0,.537,0.18,-0.13,44-38,100.0%,100.0%,NA,NA,NA,NA,NA,NA,NA,100,100.0%,100.0%,53.7%,15.3%
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
9,Toronto Raptors,41.0,41.0,.500,0.12,1.59,41-41,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
10,Chicago Bulls,40.0,42.0,.488,0.07,1.37,40-42,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11,Washington Wizards,35.0,47.0,.427,0.15,-1.06,35-47,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
12,Indiana Pacers,35.0,47.0,.427,0.28,-2.91,35-47,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
13,Orlando Magic,34.0,48.0,.415,0.17,-2.39,34-48,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
14,Charlotte Hornets,27.0,55.0,.329,0.35,-5.89,27-55,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
15,Detroit Pistons,17.0,65.0,.207,0.49,-7.73,17-65,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
1,Denver Nuggets,53.0,29.0,.646,-0.29,3.04,53-29,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,100.0%,100.0%,100.0%,51.1%
2,Memphis Grizzlies,51.0,31.0,.622,-0.34,3.60,51-31,100.0%,100.0%,NA,100,NA,NA,NA,NA,NA,NA,0.0%,0.0%,,
3,Sacramento Kings,48.0,34.0,.585,-0.35,2.30,48-34,100.0%,100.0%,NA,NA,100,NA,NA,NA,NA,NA,0.0%,0.0%,,
4,Phoenix Suns,45.0,37.0,.549,0.01,2.08,45-37,100.0%,,NA,NA,NA,100,NA,NA,NA,NA,100.0%,0.0%,,
5,Los Angeles Clippers,44.0,38.0,.537,-0.19,0.31,44-38,100.0%,,NA,NA,NA,NA,100,NA,NA,NA,0.0%,0.0%,,
6,Golden State Warriors,44.0,38.0,.537,-0.15,1.66,44-38,100.0%,,NA,NA,NA,NA,NA,100,NA,NA,100.0%,0.0%,,
7,Los Angeles Lakers,43.0,39.0,.524,-0.15,0.43,43-39,100.0%,,NA,NA,NA,NA,NA,NA,100,NA,100.0%,100.0%,,
8,Minnesota Timberwolves,42.0,40.0,.512,-0.18,-0.22,42-40,100.0%,,NA,NA,NA,NA,NA,NA,NA,100,0.0%,0.0%,,
,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
9,New Orleans Pelicans,42.0,40.0,.512,-0.26,1.63,42-40,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
10,Oklahoma City Thunder,40.0,42.0,.488,-0.12,0.96,40-42,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11,Dallas Mavericks,38.0,44.0,.463,-0.22,-0.14,38-44,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
12,Utah Jazz,37.0,45.0,.451,-0.09,-1.03,37-45,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
13,Portland Trail Blazers,33.0,49.0,.402,0.05,-3.96,33-49,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
14,San Antonio Spurs,22.0,60.0,.268,0.22,-9.82,22-60,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
15,Houston Rockets,22.0,60.0,.268,0.24,-7.62,22-60,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,
