Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.194566827,7.093567371,62.6654,>99.9,64.86,44.36,31.06,Boston Celtics,bos,63,0.9990000000000001,0.3106
Thunder,West,6.769990994,2.833286963,57.0854,>99.9,33.78,15.66,5.74,Oklahoma City Thunder,okc,57,0.9990000000000001,0.0574
76ers,East,6.401309998,5.389832588,55.5332,>99.9,50.72,25.32,15.22,Philadelphia 76ers,phi,56,0.9990000000000001,0.1522
T-Wolves,West,6.10306709,2.716774007,57.693600000000004,>99.9,34.48,16.12,5.28,Minnesota Timberwolves,min,58,0.9990000000000001,0.0528
Nuggets,West,5.843490561,5.783279811,55.5392,>99.9,57.14,41.08,20.86,Denver Nuggets,den,56,0.9990000000000001,0.2086
Pelicans,West,5.001896915,2.087227191,49.8432,99.14,22.26,9.04,3,New Orleans Pelicans,no,50,0.9914000000000001,0.03
Clippers,West,4.540013708,1.280299905,52.4076,99.82,20.98,7.36,2.32,LA Clippers,lac,52,0.9982,0.0232
Cavaliers,East,3.352761972,3.747878333,49.895,98.88,25,10.68,5.32,Cleveland Cavaliers,cle,50,0.9887999999999999,0.053200000000000004
Knicks,East,3.065573289,3.491560535,48.8836,98.14,21.14,8.86,4.28,New York Knicks,ny,49,0.9814,0.042800000000000005
Heat,East,2.638993433,1.537010869,46.5166,92.78,11.4,3.1,1.1,Miami Heat,mia,47,0.9278,0.011000000000000001
Bucks,East,2.602687902,2.392956558,50.874,99.42,18.82,6.3,2.8,Milwaukee Bucks,mil,51,0.9942,0.027999999999999997
Suns,West,1.31329788,1.031700529,44.0334,73.8,10.1,3.7,1,Phoenix Suns,phx,44,0.738,0.01
Magic,East,0.452390723,-0.989121714,44.7428,81.54,3.64,0.5,0.16,Orlando Magic,orl,45,0.8154,0.0016
Lakers,West,0.164748275,1.468565601,40.6694,42.32,6.02,2.48,0.6,Los Angeles Lakers,lal,41,0.4232,0.006
Mavericks,West,0.063540281,-0.425809553,43.6882,70.64,6.1,1.84,0.46,Dallas Mavericks,dal,44,0.7064,0.0046
Warriors,West,-0.166757188,0.465648404,39.5446,25.04,2.94,1.02,0.22,Golden State Warriors,gs,40,0.2504,0.0022
Pacers,East,-0.276353386,-2.814836947,43.1318,66.58,1.24,0.16,<0.1,Indiana Pacers,ind,43,0.6658,0.001
Rockets,West,-0.301016976,-5.688732887,40.5122,29.2,0.36,0.06,<0.1,Houston Rockets,hou,41,0.292,0.001
Bulls,East,-0.732286427,0.587927652,39.6492,37.96,2.44,0.56,0.12,Chicago Bulls,chi,40,0.3796,0.0012
Kings,West,-0.908028732,0.291245544,41.7224,49.8,5.5,1.64,0.38,Sacramento Kings,sac,42,0.498,0.0038
Raptors,East,-0.97333706,-0.677180751,35.0396,7.86,0.22,0.06,<0.1,Toronto Raptors,tor,35,0.0786,0.001
Nets,East,-2.038795673,-0.498640752,34.8346,8.16,0.24,<0.1,<0.1,Brooklyn Nets,bkn,35,0.0816,0.001
Jazz,West,-2.306541977,-2.699733424,38.1684,10.22,0.34,<0.1,<0.1,Utah Jazz,uta,38,0.10220000000000001,0.001
Hawks,East,-2.43535216,-0.780967063,35.5056,8.7,0.28,0.06,<0.1,Atlanta Hawks,atl,36,0.087,0.001
Grizzlies,West,-4.862702816,-0.615065726,30.443,<0.1,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,30,0.001,0.001
Wizards,East,-7.875140414,-4.818674351,18.4692,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,18,0.001,0.001
Spurs,West,-8.193191492,-10.16819929,18.763,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,19,0.001,0.001
Pistons,East,-9.677246661,-8.895741424,14.104,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,14,0.001,0.001
Hornets,East,-9.925041847,-7.864437049,19.514,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,20,0.001,0.001
Blazers,West,-10.59953693,-7.529922371,20.5278,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,21,0.001,0.001
