Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.655101084,7.2811348,63.109,>99.9,64.88,46.18,32.22,Boston Celtics,bos,63,0.9990000000000001,0.3222
Nuggets,West,6.225779681,5.86328082,55.6484,>99.9,60.12,43.68,23.4,Denver Nuggets,den,56,0.9990000000000001,0.23399999999999999
76ers,East,6.158548566,5.14846057,54.5294,>99.9,47.38,22.56,12.76,Philadelphia 76ers,phi,55,0.9990000000000001,0.1276
T-Wolves,West,6.084961739,2.490997844,57.8548,>99.9,34.64,15.58,5.14,Minnesota Timberwolves,min,58,0.9990000000000001,0.051399999999999994
Pelicans,West,5.611569472,1.594525209,51.3632,99.2,23.06,8.72,2.82,New Orleans Pelicans,no,51,0.992,0.0282
Thunder,West,4.744548764,2.20013816,54.431,99.92,28.84,12.96,4.84,Oklahoma City Thunder,okc,54,0.9992,0.0484
Clippers,West,3.781962856,0.971765804,50.4408,98.4,18.8,7,1.92,LA Clippers,lac,50,0.9840000000000001,0.0192
Knicks,East,3.082417904,3.467905156,48.5574,97.1,23.08,9.6,4.72,New York Knicks,ny,49,0.971,0.0472
Bucks,East,2.588164183,2.201405339,49.6284,98.74,18.58,6.16,2.76,Milwaukee Bucks,mil,50,0.98739999999999994,0.0276
Cavaliers,East,2.441915813,3.362354699,47.174,93.62,21.64,9.06,3.86,Cleveland Cavaliers,cle,47,0.9362,0.038599999999999995
Warriors,West,1.791682554,0.937479756,42.7454,55.56,7.4,2.78,0.84,Golden State Warriors,gs,43,0.5556,0.0084
Heat,East,1.791033496,2.473872999,46.8432,92.06,15.08,4.54,1.94,Miami Heat,mia,47,0.9206,0.0194
Lakers,West,1.251571081,1.449439263,42.3608,53.4,8.86,3.44,0.92,Los Angeles Lakers,lal,42,0.534,0.0092
Magic,East,0.501361274,-1.488349535,45.2758,82.16,3.52,0.58,0.1,Orlando Magic,orl,45,0.8216,0.001
Raptors,East,0.474793098,-0.552485638,38.1754,17.88,0.68,0.12,<0.1,Toronto Raptors,tor,38,0.1788,0.001
Suns,West,0.294876886,0.666667007,40.5534,31.64,4.02,1.42,0.4,Phoenix Suns,phx,41,0.3164,0.004
Mavericks,West,0.169214903,-0.3378222,43.5178,61.72,6.12,1.9,0.5,Dallas Mavericks,dal,44,0.6172,0.005
Bulls,East,0.068166369,0.428076295,39.6816,31.98,2.44,0.64,0.22,Chicago Bulls,chi,40,0.31980000000000003,0.0022
Rockets,West,-0.026308514,-5.761712501,42.006,36.76,0.54,<0.1,<0.1,Houston Rockets,hou,42,0.3676,0.001
Pacers,East,-0.051392064,-2.49932086,43.745,68.1,2,0.28,<0.1,Indiana Pacers,ind,44,0.6809999999999999,0.001
Kings,West,-0.338912715,0.307160284,43.6966,62.4,7.6,2.52,0.5,Sacramento Kings,sac,44,0.624,0.005
Hawks,East,-0.88500058,-0.509449015,36.7916,10.12,0.4,0.16,<0.1,Atlanta Hawks,atl,37,0.1012,0.001
Nets,East,-1.998030809,-0.405304847,35.9138,8.28,0.32,0.12,0.08,Brooklyn Nets,bkn,36,0.0828,8e-4
Grizzlies,West,-3.948839462,-0.310520445,31.943,0.26,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,32,0.0026,0.001
Jazz,West,-4.438680859,-3.238650262,33.983,0.74,<0.1,<0.1,<0.1,Utah Jazz,uta,34,0.0074,0.001
Hornets,East,-8.436346108,-7.419114059,21.82,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,22,0.001,0.001
Wizards,East,-8.626306193,-4.638756554,18.872,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,19,0.001,0.001
Spurs,West,-10.10759079,-11.16634621,16.4758,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,16,0.001,0.001
Pistons,East,-10.4980994,-8.892334176,14.0622,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,14,0.001,0.001
Blazers,West,-11.49810125,-6.521094659,18.8012,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,19,0.001,0.001
