Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.240258351,7.135986153,61.4744,>99.9,62.92,45.74,34.12,Boston Celtics,bos,61,0.9990000000000001,0.34119999999999995
76ers,East,5.639289836,5.024086009,53.8248,99.8,44.72,21.02,14.16,Philadelphia 76ers,phi,54,0.998,0.1416
Nuggets,West,5.091013828,5.102679413,53.6854,99.56,55.1,39.28,19.34,Denver Nuggets,den,54,0.9956,0.1934
Bucks,East,4.067909369,2.365570687,52.2016,99.38,22.12,8.28,4.08,Milwaukee Bucks,mil,52,0.9937999999999999,0.0408
Cavaliers,East,3.669770776,2.930034414,48.1164,95.34,19.68,7.72,4.16,Cleveland Cavaliers,cle,48,0.9534,0.0416
Heat,East,3.45402587,2.351390467,48.4378,94.72,17.82,6.52,3.34,Miami Heat,mia,48,0.9472,0.0334
Knicks,East,2.949411418,2.740571684,47.5798,92.76,18.58,7.18,3.62,New York Knicks,ny,48,0.9276000000000001,0.0362
Thunder,West,2.827519228,0.202828243,50.5736,97.18,18.04,6.48,1.52,Oklahoma City Thunder,okc,51,0.9718000000000001,0.0152
Warriors,West,2.762942709,1.205320224,45.6658,79.48,17.08,7.34,1.8,Golden State Warriors,gs,46,0.7948000000000001,0.018000000000000002
Lakers,West,2.628477684,1.746329852,47.1908,88.44,22.04,10.12,3.16,Los Angeles Lakers,lal,47,0.8844,0.0316
T-Wolves,West,2.592112002,1.023324932,52.0952,98.6,24.22,10.9,2.88,Minnesota Timberwolves,min,52,0.986,0.0288
Pelicans,West,2.391205211,1.370489757,46.6568,86.02,20.26,9.36,2.46,New Orleans Pelicans,no,47,0.8602,0.0246
Suns,West,2.349856071,0.82246595,46.9912,86.72,17.02,6.66,1.7,Phoenix Suns,phx,47,0.8672,0.017
Kings,West,1.015237905,0.577778925,44.0946,66.88,12.14,4.88,1.32,Sacramento Kings,sac,44,0.6688,0.0132
Clippers,West,0.809166568,-0.358789692,41.583,42.26,5.24,1.82,0.34,LA Clippers,lac,42,0.4226,0.0034000000000000002
Bulls,East,0.505484891,-0.375315801,38.9096,24.28,1.36,0.36,0.16,Chicago Bulls,chi,39,0.24280000000000002,0.0016
Raptors,East,0.38683071,-0.512866477,40.8152,38.14,2.26,0.46,0.24,Toronto Raptors,tor,41,0.3814,0.0024
Hawks,East,0.109100622,0.590366876,40.799,41.28,4.04,1.06,0.36,Atlanta Hawks,atl,41,0.4128,0.0036
Magic,East,-0.289843576,-2.188395321,44.1098,67.52,2.62,0.48,0.14,Orlando Magic,orl,44,0.6751999999999999,0.0014000000000000002
Grizzlies,West,-0.531506044,0.827580503,35.8564,7.36,1.04,0.42,0.1,Memphis Grizzlies,mem,36,0.0736,0.001
Mavericks,West,-0.704000463,0.204241239,42.098,46.5,7.82,2.74,0.66,Dallas Mavericks,dal,42,0.465,0.0066
Nets,East,-1.149591115,1.269913453,39.6434,33.24,3.58,1.12,0.34,Brooklyn Nets,bkn,40,0.33240000000000003,0.0034000000000000002
Pacers,East,-2.446838723,-3.961809599,37.659,13.52,0.3,0.06,<0.1,Indiana Pacers,ind,38,0.1352,0.001
Rockets,West,-4.796923197,-7.125904642,33.0364,0.86,<0.1,<0.1,<0.1,Houston Rockets,hou,33,0.0086,0.001
Jazz,West,-5.712678392,-2.893769283,28.598,0.14,<0.1,<0.1,<0.1,Utah Jazz,uta,29,0.0014000000000000002,0.001
Wizards,East,-5.839954265,-3.09586289,24.6564,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,25,0.001,0.001
Hornets,East,-6.242166641,-5.946857607,26.6364,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,27,0.001,0.001
Pistons,East,-8.965852354,-8.039375998,18.725,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,19,0.001,0.001
Blazers,West,-9.913866852,-6.31499305,21.8696,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,22,0.001,0.001
Spurs,West,-11.68620025,-10.20160129,16.4166,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,16,0.001,0.001
