Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.741471617,7.429886907,62.3588,>99.9,65.2,48.48,36.6,Boston Celtics,bos,62,0.9990000000000001,0.366
Nuggets,West,5.617967029,5.357635775,53.8564,99.76,56.42,42.12,20.84,Denver Nuggets,den,54,0.9976,0.2084
76ers,East,4.788768939,4.283770687,50.6508,99.38,33.88,16,9.14,Philadelphia 76ers,phi,51,0.9937999999999999,0.09140000000000001
Cavaliers,East,4.750400497,2.909050818,49.6082,98.24,22.54,8.6,4.7,Cleveland Cavaliers,cle,50,0.9823999999999999,0.047
Heat,East,4.600377667,3.124259608,51.6486,99.44,26.84,10.18,5.2,Miami Heat,mia,52,0.9944,0.052000000000000005
Bucks,East,4.11038052,2.249232884,50.3824,98.56,18.8,6.46,3.08,Milwaukee Bucks,mil,50,0.9856,0.0308
Knicks,East,3.785721179,2.896186439,48.282,96.72,20.72,7.42,3.84,New York Knicks,ny,48,0.9672,0.0384
Warriors,West,3.344817122,1.415275675,45.9902,86.16,21.46,9.08,2.6,Golden State Warriors,gs,46,0.8615999999999999,0.026000000000000002
Lakers,West,3.338739635,1.790429764,47.47,88.86,23.6,11.48,3.46,Los Angeles Lakers,lal,47,0.8886,0.0346
Suns,West,3.066522482,0.580093526,47.4404,91.58,18.88,6.7,1.8,Phoenix Suns,phx,47,0.9158,0.018000000000000002
Thunder,West,2.300668206,-0.145490789,48.4154,94.16,16.74,6.12,1.36,Oklahoma City Thunder,okc,48,0.9416,0.013600000000000001
T-Wolves,West,1.997778358,0.487669283,49.3368,95.1,19.3,7.58,1.9,Minnesota Timberwolves,min,49,0.951,0.019
Clippers,West,1.050671821,-0.539780857,40.7828,44.6,5.56,2.06,0.38,LA Clippers,lac,41,0.446,0.0038
Raptors,East,0.973910494,-0.663375752,40.9538,56.44,3.38,0.62,0.18,Toronto Raptors,tor,41,0.5644,0.0018
Bulls,East,0.719872006,-0.795644974,37.698,31.44,1.86,0.48,0.14,Chicago Bulls,chi,38,0.3144,0.0014000000000000002
Kings,West,0.708526035,0.32765617,42.3478,54.44,8.88,3,0.76,Sacramento Kings,sac,42,0.5444,0.0076
Pelicans,West,0.6194964,1.000500041,42.7972,62.54,13.12,5.14,1.4,New Orleans Pelicans,no,43,0.6254,0.013999999999999999
Grizzlies,West,0.118875659,1.22663439,36.4704,14.1,2.7,1.12,0.26,Memphis Grizzlies,mem,36,0.141,0.0026
Mavericks,West,-0.005427887,0.942179299,43.1364,68.1,13.32,5.6,1.66,Dallas Mavericks,dal,43,0.6809999999999999,0.0166
Hawks,East,-0.39187648,0.934909192,38.9484,42.72,3.86,1.22,0.46,Atlanta Hawks,atl,39,0.42719999999999997,0.0046
Magic,East,-0.608588224,-2.952573106,41.2448,53.7,1.4,0.22,0.06,Orlando Magic,orl,41,0.537,6e-4
Nets,East,-2.275825672,1.084502684,35.2224,16.4,1.46,0.3,0.18,Brooklyn Nets,bkn,35,0.16399999999999998,0.0018
Pacers,East,-3.733797064,-4.262931928,34.3444,6.82,0.06,<0.1,<0.1,Indiana Pacers,ind,34,0.0682,0.001
Jazz,West,-5.036415187,-2.387187389,27.971,0.1,<0.1,<0.1,<0.1,Utah Jazz,uta,28,0.001,0.001
Wizards,East,-5.061138967,-2.900098882,26.2256,0.08,<0.1,<0.1,<0.1,Washington Wizards,wsh,26,8e-4,0.001
Rockets,West,-5.598958749,-7.573693972,31.2966,0.5,<0.1,<0.1,<0.1,Houston Rockets,hou,31,0.005,0.001
Hornets,East,-6.341912884,-5.913177488,26.175,0.06,<0.1,<0.1,<0.1,Charlotte Hornets,cha,26,6e-4,0.001
Pistons,East,-8.332182326,-7.56754598,20.6248,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,21,0.001,0.001
Blazers,West,-11.02476783,-7.244791069,19.0042,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,19,0.001,0.001
Spurs,West,-12.83954655,-10.01161792,15.3164,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,15,0.001,0.001
