Team,Conf.,RS,PO,W,Rd 2%,CF%,Fin%,Champ%
Celtics,East,11.83720423,8.75829254,64,85.25,73.4,61.2,44.95
Nuggets,West,4.539598005,6.511015227,57,84.75,52,35.2,17.95
T-Wolves,West,7.32278386,5.234816226,56,78.5,36.3,20.65,8.2
Thunder,West,7.368653527,4.67421427,57,69.75,47.7,22.25,9
Pelicans,West,5.335142432,3.852285474,49,30.25,18.55,7.6,2.75
Heat,East,2.118674128,3.613661735,46,14.75,8.5,4.65,2.1
Knicks,East,4.044028421,2.849101353,50,64.65,37.2,9.45,3.4
76ers,East,-0.967384147,2.76847795,47,35.35,19.2,4.8,1.5
Bucks,East,1.775420493,2.443874399,49,77.9,36.55,10.1,3.7
Cavaliers,East,4.103560511,2.442971395,48,79.2,15.7,7.5,2.95
Suns,West,4.256745987,2.306866732,49,21.5,6.25,2.75,0.8
Lakers,West,1.598496616,2.200873298,47,15.25,5.45,2.2,0.55
Clippers,West,2.800434875,1.825762096,51,70.15,25.2,6.85,1.1
Warriors,West,2.600828345,1.767662477,46,—,—,—,—
Kings,West,2.177817332,1.036200972,46,—,—,—,—
Mavericks,West,2.837832055,0.736120573,50,29.85,8.55,2.5,0.75
Pacers,East,2.52782258,-0.053431028,47,22.1,7.05,1.2,0.15
Magic,East,1.737029248,-0.343306932,47,20.8,2.4,1.1,0.15
Bulls,East,-0.341957173,-0.362335695,39,—,—,—,—
Rockets,West,-0.304764553,-1.888327571,41,—,—,—,—
Hawks,East,-4.057868796,-2.022134153,36,—,—,—,—
Nets,East,-3.451427171,-3.708911931,32,—,—,—,—
Raptors,East,-8.511390383,-4.796007106,25,—,—,—,—
Grizzlies,West,-7.494902417,-5.410669999,27,—,—,—,—
Jazz,West,-5.32537094,-5.452966736,31,—,—,—,—
Spurs,West,-2.62583816,-7.363420999,22,—,—,—,—
Wizards,East,-8.479197347,-7.89934424,15,—,—,—,—
Pistons,East,-7.141357521,-9.111427472,14,—,—,—,—
Hornets,East,-10.13267393,-9.284470217,21,—,—,—,—
Blazers,West,-10.4631477,-10.27416553,21,—,—,—,—
