Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,8.854665693,6.934688524,61.969,>99.9,62.88,43.52,30.46
76ers,East,6.232485438,4.970446835,54.104,99.9,45.08,21.86,12.36
T-Wolves,West,6.21280269,2.6219801,57.6452,>99.9,33.58,15.46,6.38
Thunder,West,6.160688351,2.871830096,56.4264,>99.9,32.26,16.14,6.34
Nuggets,West,5.930642849,5.751010885,54.8914,>99.9,55.06,39.52,21.1
Pelicans,West,5.526752899,2.041746311,50.9732,99.4,24.32,9.94,3.24
Clippers,West,4.03012738,1.128862827,51.3916,99.64,19.58,6.84,1.88
Heat,East,3.551805233,2.426220414,48.8552,97.12,17.3,6.66,2.6
Bucks,East,3.436956689,2.521522952,51.4652,99.5,21.78,8.06,3.68
Knicks,East,2.674505489,3.31159985,47.6828,95.04,22.02,8.84,4.32
Cavaliers,East,2.382826667,3.355971022,47.425,94.72,21.7,9.16,4.06
Warriors,West,0.750049769,0.764650955,41.479,43.32,5.98,2.34,0.7
Magic,East,0.630425058,-1.293317272,45.0352,78.76,3.86,0.88,0.22
Suns,West,0.630288867,0.696275433,41.5028,43.9,5.82,2.12,0.56
Lakers,West,0.567644031,1.389616014,41.0242,41.64,6.92,2.34,0.64
Mavericks,West,0.378860149,-0.187364725,44.3026,72.88,8.1,2.34,0.6
Pacers,East,0.224552314,-2.301165382,45.0728,78.3,2.38,0.32,<0.1
Rockets,West,-0.390654358,-5.634933053,41.2176,33.56,0.48,0.1,<0.1
Bulls,East,-0.584054906,0.478244986,38.9776,28.66,1.86,0.54,0.2
Raptors,East,-0.67673618,-0.922508809,35.9114,8.66,0.28,<0.1,<0.1
Kings,West,-0.726304471,0.408761867,43.1984,61.1,7.78,2.84,0.6
Hawks,East,-1.265496979,-0.666438749,36.5374,11.36,0.54,0.1,<0.1
Nets,East,-2.428632375,-0.623857646,35.1536,7.98,0.32,<0.1,<0.1
Jazz,West,-3.342602114,-2.971384766,36.6842,4.4,0.1,<0.1,<0.1
Grizzlies,West,-3.766053041,-0.379307689,31.9786,0.18,<0.1,<0.1,<0.1
Wizards,East,-8.87657152,-4.527177251,18.3918,<0.1,<0.1,<0.1,<0.1
Spurs,West,-8.894254382,-10.475208780000001,18.821,<0.1,<0.1,<0.1,<0.1
Hornets,East,-9.971231999,-7.86218452,19.4162,<0.1,<0.1,<0.1,<0.1
Pistons,East,-10.3838162,-9.058972071,13.32,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.9036485,-7.148817457,19.1466,<0.1,<0.1,<0.1,<0.1
