Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.55387933,7.221438812,63.3106,>99.9,66.28,46.6,32.76
76ers,East,7.542701414,5.452179775,57.7312,>99.9,53.76,26.8,16.28
Nuggets,West,5.968532868,5.836110209,55.5066,99.94,58.82,44.04,22.66
T-Wolves,West,5.593646585,2.194819559,57.7154,>99.9,31.42,14.18,4.54
Thunder,West,4.943690307,2.093824771,55.7986,>99.9,29.16,12.42,4.48
Pelicans,West,4.338142942,1.26922959,49.2458,95.28,21.1,7.28,1.84
Bucks,East,3.997907909,2.358170595,53.1554,>99.9,21.14,7.28,3.14
Warriors,West,2.838834018,1.398057935,45.0122,73.38,13.02,5.54,1.7
Clippers,West,2.78911082,0.363766256,47.9864,90.6,13.1,4.48,1.2
Lakers,West,1.841943326,1.677588184,43.4274,60.6,12.3,5.16,1.4
Cavaliers,East,1.640303181,2.749945022,45.4394,90.68,15.98,5.26,2.7
Heat,East,1.542032775,2.39008795,45.9062,92.82,15.48,6.1,2.66
Knicks,East,1.533540241,2.579936477,45.061,88.74,14.98,5.14,2.32
Suns,West,1.106965864,0.858227964,42.866,50.94,8.48,2.8,0.72
Bulls,East,0.44923362,0.486568609,40.1572,42.3,3.4,0.94,0.36
Kings,West,0.164481646,0.841020269,43.6418,59.98,8.68,3.06,0.62
Hawks,East,0.094356437,-0.07598544,38.4732,25.16,1.84,0.42,0.08
Raptors,East,0.075622845,-0.66435206,37.486,17.08,0.82,0.3,0.06
Magic,East,-0.107363933,-1.535636385,44.2606,79.88,3.66,0.58,0.12
Rockets,West,-0.359991749,-5.869951597,41.5222,30.16,0.4,<0.1,<0.1
Mavericks,West,-0.755979174,-0.73552308,42.0452,38.98,3.52,1.04,0.2
Pacers,East,-1.298560338,-2.718508463,40.5736,43.9,1.32,0.24,<0.1
Nets,East,-1.409169516,0.053331136,37.3792,19.46,1.34,0.34,0.14
Grizzlies,West,-3.720453364,-0.621133782,30.537,0.06,<0.1,<0.1,<0.1
Jazz,West,-4.863650151,-3.199456067,31.7762,0.08,<0.1,<0.1,<0.1
Wizards,East,-7.521422254,-3.919114007,21.0404,<0.1,<0.1,<0.1,<0.1
Hornets,East,-8.569930701,-7.294796284,22.1968,<0.1,<0.1,<0.1,<0.1
Pistons,East,-10.26836729,-8.858497966,15.1376,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.54847293,-5.896042655,19.5218,<0.1,<0.1,<0.1,<0.1
Spurs,West,-10.8343451,-11.33810717,16.089,<0.1,<0.1,<0.1,<0.1
