Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,12.77487365,8.177489226,66.0106,>99.9,70.36,55.3,39.6
Thunder,West,8.093890878,4.369833745,57.6754,>99.9,37.22,19.4,7.96
Pelicans,West,7.265066008,3.5593070510000002,51.0406,99.56,26.5,11.9,4.54
T-Wolves,West,6.291986047,4.028543589,56.4226,>99.9,33.9,17,6.6
Cavaliers,East,5.514478655,4.149307018,51.3466,>99.9,36.24,14.44,6.9
Clippers,West,5.047341341,2.259631368,52.4032,99.94,18.88,7.22,2.36
Nuggets,West,4.388245704,5.973139671,56.8848,>99.9,49.92,32.88,16.8
Bucks,East,4.363420472,3.144529713,52.071,>99.9,31.54,10.28,4.28
Suns,West,2.837029815,2.763248098,46.4372,74.66,12.16,4.74,1.54
Pacers,East,2.162515156,-1.158042333,46.1068,93.5,5.02,0.98,0.18
Knicks,East,2.145427574,3.061300089,48.238,99.18,19.34,7.92,3.5
Mavericks,West,1.891815712,0.032838472,47.7692,86.54,6.14,1.82,0.4
Magic,East,1.696395277,0.199157651,48.6984,99.3,8.28,2.46,0.64
Warriors,West,1.261095662,1.883864807,43.0816,23.32,3.24,1.06,0.38
Kings,West,1.061679073,0.720644963,46.2802,75.18,6.84,2.04,0.46
Lakers,West,0.270992099,1.911798122,44.061,37.86,5.12,1.94,0.54
Bulls,East,0.261712767,-0.107154048,40.2846,25.24,1.26,0.3,0.08
Rockets,West,0.172743231,-3.395386666,40.5536,2.94,0.08,<0.1,<0.1
Heat,East,-0.29895144,1.996248275,44.6756,84.98,12.66,3.6,1.34
76ers,East,-0.473482759,2.877226178,43.8554,83.64,15.06,4.68,1.9
Jazz,West,-2.86924982,-4.218427595,33.4012,<0.1,<0.1,<0.1,<0.1
Hawks,East,-3.645613495,-1.299803112,35.192,13.58,0.24,<0.1,<0.1
Nets,East,-4.636477326,-3.282841304,30.938,0.58,<0.1,<0.1,<0.1
Spurs,West,-5.211475967,-9.338982078,19.0386,—,—,—,—
Raptors,East,-5.645355419,-2.584290332,27.5262,<0.1,<0.1,<0.1,<0.1
Grizzlies,West,-7.435335559,-4.046184908,27.3982,—,—,—,—
Pistons,East,-7.671156917,-8.87122474,15.8038,—,—,—,—
Blazers,West,-9.000872624,-8.989873954,21.9832,—,—,—,—
Wizards,East,-9.490225704,-7.311894228,15.5504,—,—,—,—
Hornets,East,-10.81927955,-8.858082406,19.272,<0.1,<0.1,<0.1,<0.1
