Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,10.79549078,8.033555287,64.6554,>99.9,71.28,53.82,38.84,Boston Celtics,bos,65,0.9990000000000001,0.3884
Thunder,West,8.135946016,4.362500632,57.6808,>99.9,38.5,21.28,9.38,Oklahoma City Thunder,okc,58,0.9990000000000001,0.09380000000000001
Pelicans,West,7.673581188,3.185350561,51.5296,99.78,24.14,10.78,3.7,New Orleans Pelicans,no,52,0.9978,0.037000000000000005
T-Wolves,West,7.009527745,3.551424608,55.965,>99.9,32.24,15.1,5.78,Minnesota Timberwolves,min,56,0.9990000000000001,0.057800000000000004
Clippers,West,5.264020264,2.253747227,53.3916,>99.9,20.82,8.2,2.52,LA Clippers,lac,53,0.9990000000000001,0.0252
Cavaliers,East,5.097428842,4.18198029,51.8126,>99.9,38.8,14.3,6.96,Cleveland Cavaliers,cle,52,0.9990000000000001,0.0696
Bucks,East,4.779873706,2.949073938,52.1822,>99.9,29.72,10.58,4.66,Milwaukee Bucks,mil,52,0.9990000000000001,0.0466
Nuggets,West,3.707404635,5.832593441,55.3874,>99.9,48.72,31.64,15.7,Denver Nuggets,den,55,0.9990000000000001,0.157
Suns,West,2.079890233,2.496776355,45.871,73.14,12.4,5.42,1.68,Phoenix Suns,phx,46,0.7314,0.0168
Knicks,East,1.781772851,2.845308399,46.7916,97.12,18.8,7.42,3.24,New York Knicks,ny,47,0.9712000000000001,0.032400000000000005
Mavericks,West,1.334291015,-0.366357601,46.3638,73.4,4.76,1.28,0.2,Dallas Mavericks,dal,46,0.7340000000000001,0.002
Pacers,East,1.205457215,-1.937307136,44.8342,84.46,2.54,0.44,0.08,Indiana Pacers,ind,45,0.8445999999999999,8e-4
Warriors,West,1.055757171,1.74512952,43.704,39.74,5.8,1.96,0.58,Golden State Warriors,gs,44,0.39740000000000003,0.0058
76ers,East,1.011636443,3.333243198,45.4114,92.5,19.2,7.68,3.78,Philadelphia 76ers,phi,45,0.925,0.0378
Magic,East,0.696984812,-0.468788489,46.4898,94.36,6.16,1.48,0.32,Orlando Magic,orl,46,0.9436,0.0032
Heat,East,0.050471408,1.981712234,44.522,86.54,11.58,3.62,1.34,Miami Heat,mia,45,0.8654000000000001,0.0134
Lakers,West,-0.198547055,1.800917853,43.915,48.32,6.48,2.26,0.6,Los Angeles Lakers,lal,44,0.4832,0.006
Kings,West,-0.418885606,0.45549086,45.1488,64.88,6.1,2.08,0.42,Sacramento Kings,sac,45,0.6487999999999999,0.0042
Bulls,East,-0.680922252,0.070920115,39.7004,27.66,1.4,0.54,0.18,Chicago Bulls,chi,40,0.2766,0.0018
Rockets,West,-0.6909154,-4.345709783,38.1302,0.76,<0.1,<0.1,<0.1,Houston Rockets,hou,38,0.0076,0.001
Nets,East,-2.925858121,-2.724234733,33.2712,2.68,0.08,<0.1,<0.1,Brooklyn Nets,bkn,33,0.0268,0.001
Jazz,West,-2.9860243,-3.708953405,34.3546,<0.1,<0.1,<0.1,<0.1,Utah Jazz,uta,34,0.001,0.001
Hawks,East,-3.523410707,-0.768382516,36.1918,14.56,0.44,0.12,<0.1,Atlanta Hawks,atl,36,0.1456,0.001
Raptors,East,-4.310448381,-1.712067372,29.7072,0.12,<0.1,<0.1,<0.1,Toronto Raptors,tor,30,0.0012,0.001
Spurs,West,-5.392212371,-9.296535988,20.136,0,<0.1,<0.1,<0.1,San Antonio Spurs,sa,20,0,0.001
Grizzlies,West,-6.399577324,-3.622554316,28.139,<0.1,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,28,0.001,0.001
Blazers,West,-7.336929547,-8.715656395,22.9952,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,23,0.001,0.001
Pistons,East,-7.685114257,-8.520242821,16.1886,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,16,0.001,0.001
Wizards,East,-8.476858917,-6.605499012,16.3314,0,<0.1,<0.1,<0.1,Washington Wizards,wsh,16,0,0.001
Hornets,East,-10.71535468,-8.731486308,19.1982,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,19,0.001,0.001
