Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,10.29334898,7.962339851,64.6626,>99.9,70.6,53.14,38.46,Boston Celtics,bos,65,0.9990000000000001,0.3846
Thunder,West,8.976911187,4.111820555,57.7746,>99.9,38.7,21.58,8.74,Oklahoma City Thunder,okc,58,0.9990000000000001,0.0874
Pelicans,West,7.922437421,2.716779933,50.8776,99.6,19.84,8.54,2.48,New Orleans Pelicans,no,51,0.996,0.0248
Clippers,West,6.125882065,2.176205321,54.14,>99.9,22.04,8.34,2.64,LA Clippers,lac,54,0.9990000000000001,0.0264
T-Wolves,West,6.057916072,3.548384365,56.2318,>99.9,34.5,16.88,6.8,Minnesota Timberwolves,min,56,0.9990000000000001,0.068
Cavaliers,East,5.529557531,4.460652034,52.956,>99.9,42.7,17.92,9.42,Cleveland Cavaliers,cle,53,0.9990000000000001,0.0942
Bucks,East,4.9511317,3.026429234,52.0836,>99.9,26.62,9.04,3.7,Milwaukee Bucks,mil,52,0.9990000000000001,0.037000000000000005
Suns,West,2.708842592,2.046436273,45.5662,74.02,12.06,4.78,1.48,Phoenix Suns,phx,46,0.7402,0.0148
Nuggets,West,2.590011997,5.763091134,53.7074,>99.9,47.26,31.28,15.7,Denver Nuggets,den,54,0.9990000000000001,0.157
Magic,East,2.115951776,-0.127656446,48.1038,98.1,6.86,1.74,0.54,Orlando Magic,orl,48,0.981,0.0054
Knicks,East,1.561058396,2.653067397,46.8074,96.18,16.18,5.94,2.64,New York Knicks,ny,47,0.9618000000000001,0.0264
76ers,East,1.2821819,3.264916678,45.176,89.64,18.8,6.98,3.22,Philadelphia 76ers,phi,45,0.8964,0.0322
Warriors,West,1.185776954,1.945333686,44.9288,61.52,8.78,3.34,1,Golden State Warriors,gs,45,0.6152000000000001,0.01
Heat,East,0.921259571,2.117622909,46.5494,93.22,13.7,4.26,1.52,Miami Heat,mia,47,0.9322,0.0152
Pacers,East,0.788376487,-2.311064117,44.3132,75.12,2.26,0.32,0.06,Indiana Pacers,ind,44,0.7512000000000001,6e-4
Kings,West,-0.005582798,0.801177041,45.6692,77.3,8.9,2.72,0.64,Sacramento Kings,sac,46,0.773,0.0064
Mavericks,West,-0.027813056,-0.786786465,44.324,50.46,3.18,0.68,0.2,Dallas Mavericks,dal,44,0.5046,0.002
Lakers,West,-0.190881005,1.704872591,42.6404,36.38,4.74,1.86,0.6,Los Angeles Lakers,lal,43,0.3638,0.006
Bulls,East,-0.243385165,0.456294708,40.1962,30.52,1.76,0.56,0.14,Chicago Bulls,chi,40,0.30519999999999997,0.0014000000000000002
Rockets,West,-0.71770563,-4.906114915,37.2538,0.68,<0.1,<0.1,<0.1,Houston Rockets,hou,37,0.0068000000000000005,0.001
Jazz,West,-2.821735034,-3.555960066,34.8636,0.06,<0.1,<0.1,<0.1,Utah Jazz,uta,35,6e-4,0.001
Nets,East,-3.180990311,-2.320915436,33.543,3.16,<0.1,<0.1,<0.1,Brooklyn Nets,bkn,34,0.0316,0.001
Hawks,East,-3.27333161,-0.508225268,36.1908,13.6,0.5,0.1,<0.1,Atlanta Hawks,atl,36,0.136,0.001
Raptors,East,-3.775307872,-1.662496334,31.0242,0.48,<0.1,<0.1,<0.1,Toronto Raptors,tor,31,0.0048,0.001
Grizzlies,West,-6.223401983,-3.097546494,28.8734,<0.1,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,29,0.001,0.001
Spurs,West,-6.352802533,-9.704174717,19.681,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,20,0.001,0.001
Blazers,West,-8.160975566,-8.449892867,22.4988,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,22,0.001,0.001
Pistons,East,-8.623426752,-8.787277326,15.2012,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,15,0.001,0.001
Wizards,East,-9.138087487,-6.414813973,14.8598,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,15,0.001,0.001
Hornets,East,-10.29840735,-8.564233677,19.3022,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,19,0.001,0.001
