Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,13.32356342,9.288606077,—,100,77.59640044,51.71392933
Thunder,West,8.064488695,6.927867931,—,100,38.36190116,15.93006644
T-Wolves,West,7.599114547,6.505433605,—,100,45.11275705,19.34699958
Nuggets,West,4.403889318,5.688179824,—,100,8.848543734,3.630176372
76ers,East,-0.732262495,2.743065684,—,100,—,—
Lakers,West,2.360030769,2.404803329,100,100,—,—
Pelicans,West,4.148706398,2.335829933,—,100,—,—
Knicks,East,2.757519877,2.167496385,—,100,16.57192077,5.115666526
Suns,West,5.204701049,1.90590341,—,100,—,—
Bucks,East,1.516835069,1.613196664,—,100,—,—
Warriors,West,2.61014053,1.58220534,—,—,—,—
Mavericks,West,3.699081663,1.422227901,—,100,7.676699087,2.70594728
Heat,East,1.329355641,1.396612584,—,100,—,—
Magic,East,1.998209387,0.928129708,—,100,—,—
Pacers,East,2.706496823,0.840661905,—,100,3.599412147,0.8616813
Cavaliers,East,1.294486168,0.827636588,—,100,2.232165036,0.6953383
Kings,West,3.015777089,0.768590021,—,—,—,—
Clippers,West,1.044520408,0.559876881,—,100,—,—
Bulls,East,-0.574209982,-0.294610793,—,—,—,—
Rockets,West,-0.132361102,-1.950813803,—,—,—,—
Hawks,East,-3.753352236,-2.107919683,—,—,—,—
Nets,East,-3.847375219,-3.727277779,—,—,—,—
Raptors,East,-9.142245866,-4.890127036,—,—,—,—
Grizzlies,West,-8.283599691,-5.431219449,—,—,—,—
Jazz,West,-5.774953513,-5.558854792,—,—,—,—
Spurs,West,-2.758350419,-7.298109259,—,—,—,—
Wizards,East,-8.062359957,-8.126092173,—,—,—,—
Pistons,East,-7.448566397,-9.146477852,—,—,—,—
Hornets,East,-10.42059501,-9.312723063,—,—,—,—
Blazers,West,-9.165268103,-10.24910144,—,—,—,—
