Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,12.47473436,9.001974845,—,100,71.87497691,49.18080582
Thunder,West,7.981671829,6.392281572,—,100,33.07753464,13.21215577
Nuggets,West,4.869321506,6.031805304,—,100,22.26890457,11.15851757
T-Wolves,West,7.070557091,5.792344341,—,100,31.32093068,12.75848599
76ers,East,-0.650080453,2.84357788,—,100,—,—
Lakers,West,2.563570429,2.512892888,100,100,—,—
Knicks,East,2.664229584,2.363049449,—,100,17.50355693,5.873581993
Pelicans,West,4.33537872,2.296931773,—,100,—,—
Mavericks,West,4.313816764,1.99888949,—,100,13.33253142,4.988990659
Suns,West,5.585396998,1.938718671,—,100,—,—
Bucks,East,2.156719913,1.637009484,—,100,—,—
Warriors,West,2.538467647,1.608269988,—,—,—,—
Heat,East,1.4129185420000001,1.386604107,—,100,—,—
Cavaliers,East,1.513774084,1.221745037,—,100,4.61293561,1.341430332
Magic,East,1.830210207,0.972230058,—,100,—,—
Pacers,East,2.699343336,0.86143955,—,100,6.008429493,1.485838339
Kings,West,3.239645601,0.843809819,—,—,—,—
Clippers,West,1.198372098,0.651852604,—,100,—,—
Bulls,East,-0.743558776,-0.272474844,—,—,—,—
Rockets,West,-0.202988495,-1.927385779,—,—,—,—
Hawks,East,-3.996670408,-2.150563819,—,—,—,—
Nets,East,-3.954400804,-3.700823017,—,—,—,—
Raptors,East,-9.235774314,-4.852110809,—,—,—,—
Grizzlies,West,-8.411383192,-5.395682521,—,—,—,—
Jazz,West,-5.450187385,-5.510914797,—,—,—,—
Spurs,West,-2.698571006,-7.361761602,—,—,—,—
Wizards,East,-8.105986509,-8.110030516,—,—,—,—
Pistons,East,-7.455024647,-9.131654099,—,—,—,—
Hornets,East,-10.52206276,-9.283157188,—,—,—,—
Blazers,West,-9.562660725,-10.25102504,—,—,—,—
