Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,9.165791797,7.322041992,—,97.61234828,42.63082343,29.31005808
Thunder,West,8.485968899,3.533980352,—,98.33213208,13.5497047,5.351776603
T-Wolves,West,7.403306976,3.563305204,—,98.33213208,14.31468829,5.315257986
Cavaliers,East,6.534738248,4.709187996,—,97.61234828,15.87386018,7.821776603
Pelicans,West,6.008151615,2.271244901,—,90.92755007,5.726522407,2.123681994
Clippers,West,5.168620633,2.446924402,—,98.32213208,18.22278625,8.841031945
Bucks,East,4.019809766,2.379562386,—,97.21266714,14.70445289,7.172825556
Knicks,East,3.831696236,3.250290491,—,97.08266714,11.26540165,4.173008712
Suns,West,3.005702537,1.997753685,—,79.80663502,7.379704696,3.616412778
76ers,East,2.420712212,3.757784955,—,94.48704418,7.155433975,3.603425538
Nuggets,West,2.157422463,5.545157516,—,98.18213208,28.64568582,14.93225772
Pacers,East,1.597547741,-2.193732032,—,85.01396164,1.706350412,0.442338531
Mavericks,West,0.912691069,-0.046452847,—,76.86749911,3.876812974,1.355572748
Heat,East,0.879933614,1.231352576,—,88.11510267,4.38652077,1.538516085
Magic,East,0.644018263,-0.44105418,—,88.75396164,1.00101887,0.372805775
Lakers,West,0.543512743,1.822659908,100,40.64123502,2.687221236,1.176591994
Warriors,West,0.493956657,1.775671649,—,44.3253389,2.754896097,1.206591994
Rockets,West,0.413131895,-5.282241511,—,2.918928529,0.111514564,0.055454316
Kings,West,0.143464642,0.559094048,—,68.65045908,2.643406487,1.022724454
Bulls,East,-0.265861796,0.66268705,—,26.2427702,0.467436414,0.184819128
Jazz,West,-2.555997368,-3.42870328,—,2.693796934,0.087030329,0.084819128
Raptors,East,-3.005186712,-1.175170694,—,3.157255134,0.126422778,0.061604587
Nets,East,-3.531858296,-2.008226368,—,5.4308827,0.14878973,<0.1
Hawks,East,-3.716738331,-0.951428011,—,17.74308945,0.533462925,0.192805775
Grizzlies,West,-5.748925476,-2.0186005,—,<0.1,<0.1,<0.1
Wizards,East,-8.198057189,-5.624824665,—,<0.1,<0.1,<0.1
Spurs,West,-8.511628668,-10.12318736,—,<0.1,<0.1,<0.1
Pistons,East,-9.124057139,-8.985599972,—,<0.1,<0.1,<0.1
Blazers,West,-9.143248132,-7.968279407,—,<0.1,<0.1,<0.1
Hornets,East,-10.40133282,-8.293665611,—,1.53588251,<0.1,<0.1
