Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,9.291522627,7.186900214,—,97.18988259,40.64155373,24.98071108,Boston Celtics,bos,0.9718988259,0.24980711079999998
76ers,East,7.121267849,5.572587568,—,96.80601908,19.66510414,12.01431015,Philadelphia 76ers,phi,0.9680601907999999,0.1201431015
Nuggets,West,6.394124958,5.535591402,—,97.40650141,35.89558292,18.03314271,Denver Nuggets,den,0.9740650141,0.1803314271
T-Wolves,West,4.6022964,1.890346803,—,95.82642875,11.02041905,4.424754847,Minnesota Timberwolves,min,0.9582642875,0.04424754847
Bucks,East,3.711594564,1.951596514,—,96.65601908,19.36835729,8.931544831,Milwaukee Bucks,mil,0.9665601907999999,0.08931544831
Thunder,West,3.699244565,1.494263526,—,92.4637647,8.194937729,2.37477005,Oklahoma City Thunder,okc,0.924637647,0.0237477005
Pelicans,West,3.675137423,1.330239107,—,75.5129861,5.94353288,1.851153149,New Orleans Pelicans,no,0.755129861,0.01851153149
Warriors,West,3.20158314,1.401363179,—,68.69367549,5.992011204,2.05972406,Golden State Warriors,gs,0.6869367549000001,0.0205972406
Clippers,West,3.187083773,0.145133459,—,86.84776424,7.728023809,3.749257084,LA Clippers,lac,0.8684776424,0.037492570839999996
Knicks,East,2.577985444,2.883227334,—,87.45296148,5.159835729,2.380007437,New York Knicks,ny,0.8745296148,0.02380007437
Heat,East,2.570266982,2.257617187,—,87.44127373,4.801354155,2.356495732,Miami Heat,mia,0.8744127373,0.02356495732
Lakers,West,2.40923684,1.647246207,100,66.30311597,6.638682539,2.974754847,Los Angeles Lakers,lal,0.6630311596999999,0.02974754847
Cavaliers,East,2.119424991,2.947540382,—,87.52633742,4.988155373,2.480007437,Cleveland Cavaliers,cle,0.8752633742,0.024800074369999998
Suns,West,1.095530954,0.893789974,—,59.32606991,8.677365079,4.928926899,Phoenix Suns,phx,0.5932606991,0.04928926899
Bulls,East,0.878065803,0.841987773,—,36.97612334,0.688429442,0.329876938,Chicago Bulls,chi,0.3697612334,0.0032987693800000002
Kings,West,0.33175368,0.900463566,—,68.64252655,4.699011904,1.576495732,Sacramento Kings,sac,0.6864252655,0.01576495732
Nets,East,-0.091733244,0.990353872,—,43.93182618,0.985799529,0.441640971,Brooklyn Nets,bkn,0.4393182618,0.00441640971
Magic,East,-0.115822081,-1.39746227,—,71.38890998,1.338893224,0.435349922,Orlando Magic,orl,0.7138890997999999,0.00435349922
Hawks,East,-0.262516391,0.507048215,—,34.24182618,1.047470966,0.498349935,Atlanta Hawks,atl,0.34241826179999996,0.00498349935
Mavericks,West,-0.528089334,-0.532599332,—,59.45606991,3.740299319,1.592155075,Dallas Mavericks,dal,0.5945606991,0.01592155075
Raptors,East,-0.922125046,-0.676023864,—,17.91371931,0.458790351,0.169876938,Toronto Raptors,tor,0.1791371931,0.0016987693800000001
Pacers,East,-1.700736582,-3.613964854,—,38.54814536,0.597838539,0.505436322,Indiana Pacers,ind,0.38548145359999997,0.00505436322
Rockets,West,-2.290233644,-6.363204663,—,19.29331365,0.414722437,0.312521695,Houston Rockets,hou,0.19293313650000002,0.0031252169499999998
Grizzlies,West,-2.77797181,-0.345345084,—,7.216905437,0.700068696,0.312521695,Memphis Grizzlies,mem,0.07216905437,0.0031252169499999998
Jazz,West,-6.31034936,-3.286753797,—,2.533750864,0.184866625,0.08171725,Utah Jazz,uta,0.02533750864,8.171725000000001e-4
Wizards,East,-7.053280804,-3.632440441,—,0.236242882,0.08613918,<0.1,Washington Wizards,wsh,0.00236242882,0.001
Hornets,East,-7.773231323,-7.228079069,—,3.501530835,0.08613918,<0.1,Charlotte Hornets,cha,0.03501530835,0.001
Blazers,West,-9.956836851,-5.465937254,—,0.238563515,0.085237905,<0.1,Portland Trail Blazers,por,0.00238563515,0.001
Pistons,East,-10.62685897,-9.168016426,—,0.189182547,0.08613918,<0.1,Detroit Pistons,det,0.00189182547,0.001
Spurs,West,-11.26070684,-11.04910641,—,0.238563515,0.085237905,<0.1,San Antonio Spurs,sa,0.00238563515,0.001
