Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.95528145,8.884087899,—,100,86.28969222,57.26361497,Boston Celtics,bos,1,0.5726361497
T-Wolves,West,7.279261022,6.753923054,—,100,26.14967201,11.30545624,Minnesota Timberwolves,min,1,0.1130545624
Thunder,West,7.472837512,6.034599733,—,100,13.65678774,5.359573372,Oklahoma City Thunder,okc,1,0.05359573372
Nuggets,West,4.494481323,5.688423219,—,100,36.92776802,16.02540762,Denver Nuggets,den,1,0.16025407619999998
Heat,East,1.352136577,2.319049593,—,100,—,0,Miami Heat,mia,1,0
76ers,East,-0.941668926,2.280572368,—,100,—,0,Philadelphia 76ers,phi,1,0
Lakers,West,2.116756169,2.235929481,100,100,—,0,Los Angeles Lakers,lal,1,0
Mavericks,West,4.715717267,2.22012004,—,100,23.26567408,6.387703811,Dallas Mavericks,dal,1,0.06387703810999999
Pelicans,West,4.107895171,2.109065353,—,100,—,0,New Orleans Pelicans,no,1,0
Suns,West,5.295646841,1.739459067,—,100,—,0,Phoenix Suns,phx,1,0
Warriors,West,2.530903789,1.531258906,—,0,—,0,Golden State Warriors,gs,0,0
Knicks,East,2.544878992,1.307496816,—,100,8.321162833,2.604234604,New York Knicks,ny,1,0.02604234604
Bucks,East,1.611266567,1.302466452,—,100,—,0,Milwaukee Bucks,mil,1,0
Pacers,East,3.535164763,0.937216542,—,100,5.389032171,1.05380703,Indiana Pacers,ind,1,0.0105380703
Magic,East,2.125322089,0.7420834,—,100,—,0,Orlando Magic,orl,1,0
Cavaliers,East,1.52352351,0.714691662,—,100,—,0,Cleveland Cavaliers,cle,1,0
Kings,West,3.06961727,0.656137855,—,0,—,0,Sacramento Kings,sac,0,0
Clippers,West,0.969354891,0.52129042,—,100,—,0,LA Clippers,lac,1,0
Bulls,East,-0.712581642,-0.431207198,—,0,—,0,Chicago Bulls,chi,0,0
Rockets,West,0.022636609,-1.849981374,—,0,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.843725567,-2.401409916,—,0,—,0,Atlanta Hawks,atl,0,0
Nets,East,-3.936863379,-3.939092911,—,0,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-9.235385673,-4.942812182,—,0,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-8.477025216,-5.459055198,—,0,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-6.19298309,-5.482529957,—,0,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.825807328,-7.261334018,—,0,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.330691334,-8.082301718,—,0,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.619712855,-9.103576197,—,0,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.58444449,-9.184904267,—,0,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.469551547,-10.15602179,—,0,—,0,Portland Trail Blazers,por,0,0
