Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,13.03700648,8.907407037,—,100,83.53241078,54.27073034
Thunder,West,8.060494763,6.55390128,—,100,33.59496096,13.25649183
Nuggets,West,5.046414207,6.024754349,—,100,32.72994144,15.19837346
T-Wolves,West,6.854342758,5.849066462,—,100,22.17423402,9.324186732
76ers,East,-0.878476782,2.6069892,—,100,—,—
Lakers,West,2.05646187,2.375001283,100,100,—,—
Pelicans,West,3.9677194670000002,2.263317663,—,100,—,—
Suns,West,4.932278436,1.858749784,—,100,—,—
Mavericks,West,4.058377975,1.77619305,—,100,11.50076482,3.635191471
Bucks,East,1.453506027,1.638077734,—,100,—,—
Knicks,East,2.400467769,1.581577766,—,100,8.539316629,2.399771268
Warriors,West,2.620090197,1.527764841,—,—,—,—
Pacers,East,3.699825893,1.395199256,—,100,7.23574239,1.721915306
Heat,East,1.182840902,1.368078199,—,100,—,—
Cavaliers,East,2.418927442,1.113999658,—,100,0.692426484,0.193149531
Magic,East,2.366201369,0.846564471,—,100,—,—
Kings,West,2.923883834,0.73378727,—,—,—,—
Clippers,West,0.738425469,0.519224891,—,100,—,—
Bulls,East,-0.620103568,-0.320499076,—,—,—,—
Rockets,West,0.037386268,-1.990359031,—,—,—,—
Hawks,East,-3.831390371,-2.141491743,—,—,—,—
Nets,East,-3.939791042,-3.852033853,—,—,—,—
Raptors,East,-9.2597754900000009,-4.913924384,—,—,—,—
Grizzlies,West,-8.387140717,-5.489418529,—,—,—,—
Jazz,West,-6.252326404,-5.553083363,—,—,—,—
Spurs,West,-2.81447667,-7.385822175,—,—,—,—
Wizards,East,-8.307415719,-8.165845176,—,—,—,—
Pistons,East,-7.641954427,-9.176268499,—,—,—,—
Hornets,East,-10.56531795,-9.336528413,—,—,—,—
Blazers,West,-9.543046958,-10.30283551,—,—,—,—
