Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,12.94762565,8.92314628,—,100,82.15650156,53.58206013
Thunder,West,8.019551841,6.540469247,—,100,31.71768698,13.07543961
Nuggets,West,5.606526236,6.175948481,—,100,46.60718989,21.58859903
T-Wolves,West,6.542381071,5.604490694,—,100,10.54286773,3.862719807
76ers,East,-0.930242848,2.627185306,—,100,—,—
Lakers,West,2.216002904,2.404047656,100,100,—,—
Pelicans,West,4.176186526,2.252114192,—,100,—,—
Knicks,East,2.75013154,1.942837233,—,100,13.47360284,3.619498024
Suns,West,5.210829029,1.857155068,—,100,—,—
Mavericks,West,4.297835125,1.762777665,—,100,11.13215697,3.417434782
Bucks,East,1.574600195,1.561005251,—,100,—,—
Warriors,West,2.53935362,1.522846605,—,—,—,—
Heat,East,1.353285808,1.419616023,—,100,—,—
Cavaliers,East,2.254602037,1.144114954,—,100,0.670297186,0.143835121
Pacers,East,3.338954427,0.902348615,—,100,3.699495471,0.710220425
Magic,East,2.177093612,0.845433674,—,100,—,—
Kings,West,3.105758062,0.726077278,—,—,—,—
Clippers,West,0.787904237,0.51029957,—,100,—,—
Bulls,East,-0.769421681,-0.328567101,—,—,—,—
Rockets,West,-0.034221532,-1.924978016,—,—,—,—
Hawks,East,-3.936573185,-2.163790636,—,—,—,—
Nets,East,-4.065723601,-3.860931372,—,—,—,—
Raptors,East,-9.366509413,-4.930102145,—,—,—,—
Grizzlies,West,-8.563992725,-5.496225609,—,—,—,—
Jazz,West,-6.259224709,-5.561686763,—,—,—,—
Spurs,West,-2.849233993,-7.394642194,—,—,—,—
Wizards,East,-8.452718313,-8.173894571,—,—,—,—
Pistons,East,-7.777607989,-9.198219702,—,—,—,—
Hornets,East,-10.76274025,-9.351626021,—,—,—,—
Blazers,West,-9.604763088,-10.31313323,—,—,—,—
