Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,9.53524589,7.288948741,—,97.58565687,40.61341939,26.2378337,Boston Celtics,bos,0.9758565686999999,0.262378337
Thunder,West,7.899677419,2.97483763,—,98.08582388,12.80358568,5.083655908,Oklahoma City Thunder,okc,0.9808582388000001,0.050836559079999996
T-Wolves,West,6.382062563,2.487985937,—,98.08582388,11.6806165,4.611743061,Minnesota Timberwolves,min,0.9808582388000001,0.04611743061
Clippers,West,5.920705886,2.011689447,—,98.08582388,16.09094068,6.56413977,LA Clippers,lac,0.9808582388000001,0.06564139769999999
76ers,East,5.359676311,4.738755628,—,97.57565687,15.70450593,8.202759846,Philadelphia 76ers,phi,0.9757565687,0.08202759845999999
Knicks,East,4.840310749,3.857447702,—,97.01344886,9.239073969,4.313517662,New York Knicks,ny,0.9701344886,0.04313517662
Nuggets,West,4.726079245,5.747223699,—,98.08582388,35.17566314,17.60613299,Denver Nuggets,den,0.9808582388000001,0.17606132989999998
Pelicans,West,4.219151524,1.644630891,—,85.591542,5.376792839,1.685355258,New Orleans Pelicans,no,0.8559154200000001,0.01685355258
Cavaliers,East,4.177026828,4.320936185,—,97.43361013,9.596126482,4.993329806,Cleveland Cavaliers,cle,0.9743361013,0.04993329806
Bucks,East,3.448489174,2.324241651,—,97.51565687,16.46273805,8.355519693,Milwaukee Bucks,mil,0.9751565687,0.08355519692999999
Suns,West,1.682415321,1.180446937,—,81.41938083,7.24480668,3.789470627,Phoenix Suns,phx,0.8141938083,0.03789470627
Rockets,West,1.041166462,-5.324469876,—,24.0712896,0.287924576,0.194659328,Houston Rockets,hou,0.240712896,0.00194659328
Pacers,East,0.876751393,-2.649096114,—,87.14620744,1.756556873,0.713329806,Indiana Pacers,ind,0.8714620744,0.0071332980599999995
Warriors,West,0.520880368,0.917056757,—,27.56549888,1.90870167,0.893329806,Golden State Warriors,gs,0.2756549888,0.00893329806
Magic,East,0.463380191,-0.814108632,—,77.67508859,1.117141346,0.433535253,Orlando Magic,orl,0.7767508859,0.00433535253
Kings,West,-0.271311213,0.592441556,—,81.84352546,3.507327366,1.383896131,Sacramento Kings,sac,0.8184352546,0.01383896131
Mavericks,West,-0.439035052,-0.601399419,—,62.23144881,3.146436488,1.165188794,Dallas Mavericks,dal,0.6223144881,0.011651887940000001
Bulls,East,-0.854616014,0.671202533,—,29.54585338,0.504462864,0.230427876,Chicago Bulls,chi,0.2954585338,0.00230427876
Heat,East,-0.979434235,0.583734552,—,75.97295838,4.095925813,1.493517662,Miami Heat,mia,0.7597295838,0.014935176619999999
Nets,East,-1.375762037,-0.686558149,—,15.0401294,0.236610544,0.078341295,Brooklyn Nets,bkn,0.150401294,7.8341295e-4
Raptors,East,-1.485658538,-0.682740136,—,9.770264954,0.216610544,0.068341295,Toronto Raptors,tor,0.09770264954,6.8341295e-4
Lakers,West,-1.506590024,1.228566217,100,31.88495118,2.470720763,1.444939295,Los Angeles Lakers,lal,0.31884951180000004,0.014449392949999999
Jazz,West,-2.690524399,-2.856952541,—,8.802557619,0.158233185,0.102426729,Utah Jazz,uta,0.08802557619,0.0010242672899999999
Hawks,East,-3.187671201,-1.0671858,—,14.74539743,0.456802332,0.313535253,Atlanta Hawks,atl,0.1474539743,0.00313535253
Grizzlies,West,-5.23110874,-0.81894858,—,4.246490836,0.148233185,<0.1,Memphis Grizzlies,mem,0.042464908360000005,0.001
Wizards,East,-7.637770833,-4.758434022,—,<0.1,<0.1,<0.1,Washington Wizards,wsh,0.001,0.001
Spurs,West,-7.850141788,-9.748764389,—,<0.1,<0.1,<0.1,San Antonio Spurs,sa,0.001,0.001
Blazers,West,-8.979691558,-7.143101751,—,<0.1,<0.1,<0.1,Portland Trail Blazers,por,0.001,0.001
Pistons,East,-8.998501505,-8.766702415,—,<0.1,<0.1,<0.1,Detroit Pistons,det,0.001,0.001
Hornets,East,-10.87084227,-8.18664101,—,2.980051761,<0.1,<0.1,Charlotte Hornets,cha,0.02980051761,0.001
