Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,12.96642322,8.872809084,—,100,86.34866503,58.37528025,Boston Celtics,bos,1,0.5837528025000001
T-Wolves,West,7.374833003,6.740093759,—,100,28.23374864,12.1579439,Minnesota Timberwolves,min,1,0.121579439
Thunder,West,7.244642672,5.983195977,—,100,—,0,Oklahoma City Thunder,okc,1,0
Nuggets,West,4.516810293,5.664024348,—,100,38.53783074,15.81966676,Denver Nuggets,den,1,0.1581966676
Mavericks,West,5.131361492,2.418102518,—,100,33.22831268,9.907764167,Dallas Mavericks,dal,1,0.09907764167
Heat,East,1.366515216,2.321882298,—,100,—,0,Miami Heat,mia,1,0
76ers,East,-0.939775006,2.279912498,—,100,—,0,Philadelphia 76ers,phi,1,0
Lakers,West,2.116713205,2.227273951,100,100,—,0,Los Angeles Lakers,lal,1,0
Pelicans,West,4.095899187,2.105749094,—,100,—,0,New Orleans Pelicans,no,1,0
Suns,West,5.060794683,1.605696397,—,100,—,0,Phoenix Suns,phx,1,0
Warriors,West,2.549752302,1.52807276,—,0,—,0,Golden State Warriors,gs,0,0
Knicks,East,2.54743579,1.304004333,—,100,7.96073315,2.538906188,New York Knicks,ny,1,0.025389061879999997
Bucks,East,1.616433757,1.29835891,—,100,—,0,Milwaukee Bucks,mil,1,0
Pacers,East,3.543046833,0.934666452,—,100,5.690488767,1.200417493,Indiana Pacers,ind,1,0.01200417493
Magic,East,2.114274806,0.736830358,—,100,—,0,Orlando Magic,orl,1,0
Cavaliers,East,1.575108907,0.713436373,—,100,—,0,Cleveland Cavaliers,cle,1,0
Kings,West,3.08697981,0.65152023,—,0,—,0,Sacramento Kings,sac,0,0
Clippers,West,1.006323081,0.518263522,—,100,—,0,LA Clippers,lac,1,0
Bulls,East,-0.716203105,-0.435705042,—,0,—,0,Chicago Bulls,chi,0,0
Rockets,West,0.012438631,-1.855795709,—,0,—,0,Houston Rockets,hou,0,0
Hawks,East,-3.854579275,-2.403654994,—,0,—,0,Atlanta Hawks,atl,0,0
Nets,East,-3.951670197,-3.944799286,—,0,—,0,Brooklyn Nets,bkn,0,0
Raptors,East,-9.272597301,-4.949949948,—,0,—,0,Toronto Raptors,tor,0,0
Grizzlies,West,-8.515957868,-5.462156146,—,0,—,0,Memphis Grizzlies,mem,0,0
Jazz,West,-6.205351716,-5.502553368,—,0,—,0,Utah Jazz,uta,0,0
Spurs,West,-2.839906054,-7.268249923,—,0,—,0,San Antonio Spurs,sa,0,0
Wizards,East,-8.360608467,-8.091189858,—,0,—,0,Washington Wizards,wsh,0,0
Pistons,East,-7.634120227,-9.112903556,—,0,—,0,Detroit Pistons,det,0,0
Hornets,East,-10.62227386,-9.193375355,—,0,—,0,Charlotte Hornets,cha,0,0
Blazers,West,-9.496797528,-10.16568375,—,0,—,0,Portland Trail Blazers,por,0,0
