Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,10.98939567,8.006524635,—,98.60184882,50.3242063,32.7626412,Boston Celtics,bos,0.9860184882,0.327626412
Thunder,West,8.219714683,4.077820302,—,98.12602889,15.78826062,6.314904617,Oklahoma City Thunder,okc,0.9812602889,0.06314904617
Pelicans,West,8.027903662,3.005015056,—,92.87013972,6.178152102,2.034854169,New Orleans Pelicans,no,0.9287013972,0.02034854169
Clippers,West,6.01558595,2.219520541,—,98.11602889,16.52770133,8.210531287,LA Clippers,lac,0.9811602889,0.08210531287
T-Wolves,West,5.58535219,3.654537587,—,98.12602889,11.51942533,4.423732961,Minnesota Timberwolves,min,0.9812602889,0.04423732961
Cavaliers,East,5.483185923,4.567997217,—,98.60184882,12.34903438,5.783968759,Cleveland Cavaliers,cle,0.9860184882,0.05783968759
Bucks,East,4.61624994,2.889784852,—,98.59184882,14.42651862,7.092898466,Milwaukee Bucks,mil,0.9859184881999999,0.07092898466
Nuggets,West,3.402454282,5.882100707,—,98.11602889,32.17700163,16.60984379,Denver Nuggets,den,0.9811602889,0.1660984379
Suns,West,2.190927333,2.075176293,—,73.15830249,6.72810049,3.20312869,Phoenix Suns,phx,0.7315830248999999,0.0320312869
Knicks,East,2.019083508,3.016307823,—,97.63184882,8.640987181,3.053732961,New York Knicks,ny,0.9763184882,0.03053732961
Magic,East,1.204671942,-0.33893891,—,97.00184882,1.136147013,0.343042273,Orlando Magic,orl,0.9700184882,0.00343042273
Heat,East,0.873475206,2.249041371,—,95.15484884,5.464955587,2.183732961,Miami Heat,mia,0.9515484884,0.02183732961
Warriors,West,0.815895087,1.744965318,—,40.97057339,2.457065155,1.269841575,Golden State Warriors,gs,0.4097057339,0.01269841575
Mavericks,West,0.78540809,-0.742357342,—,68.63129154,2.775108592,1.293732961,Dallas Mavericks,dal,0.6863129154000001,0.01293732961
Pacers,East,0.762372003,-2.088967614,—,80.13399283,1.413011461,0.442902849,Indiana Pacers,ind,0.8013399283,0.0044290284899999996
76ers,East,0.513679465,3.154065922,—,80.69612712,5.269517192,2.432579693,Philadelphia 76ers,phi,0.8069612712,0.02432579693
Lakers,West,-0.114655032,1.716642467,100,48.85056646,3.145597733,1.29715092,Los Angeles Lakers,lal,0.48850566460000006,0.0129715092
Bulls,East,-0.18750804,0.506149974,—,33.1412444,0.517300555,0.144935209,Chicago Bulls,chi,0.331412444,0.0014493520900000002
Kings,West,-0.291435661,0.564501846,—,78.09103111,2.507248583,0.871866481,Sacramento Kings,sac,0.7809103111,0.00871866481
Rockets,West,-0.375275132,-4.577313363,—,2.401001481,0.110260754,<0.1,Houston Rockets,hou,0.02401001481,0.001
Jazz,West,-3.009490899,-3.725488974,—,2.542949395,0.086051806,<0.1,Utah Jazz,uta,0.02542949395,0.001
Nets,East,-3.315237601,-2.762154422,—,3.157992555,0.148898207,<0.1,Brooklyn Nets,bkn,0.03157992555,0.001
Hawks,East,-3.381426893,-0.560739938,—,17.20651126,0.30938883,0.104935209,Atlanta Hawks,atl,0.1720651126,0.00104935209
Raptors,East,-4.189572983,-1.858309823,—,0.08000972,<0.1,<0.1,Toronto Raptors,tor,8.000972000000001e-4,0.001
Spurs,West,-5.433283995,-9.443385896,—,—,<0.1,<0.1,San Antonio Spurs,sa,NA,0.001
Grizzlies,West,-5.999323379,-3.319371446,—,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,0.001,0.001
Blazers,West,-7.603755919,-8.524216632,—,<0.1,<0.1,<0.1,Portland Trail Blazers,por,0.001,0.001
Pistons,East,-8.512491,-8.815337122,—,<0.1,<0.1,<0.1,Detroit Pistons,det,0.001,0.001
Wizards,East,-8.7015925,-6.447335181,—,—,<0.1,<0.1,Washington Wizards,wsh,NA,0.001
Hornets,East,-10.50685309,-8.595156545,—,<0.1,<0.1,<0.1,Charlotte Hornets,cha,0.001,0.001
